754.1.1={holder=1000265076} #Tandja[1000253067]
765.1.1 = { liege=k_kanem }
781.05.16={holder=1000265077} #Amin[1000253067]
810.11.07={holder=1000265081} #Katakarmabe[1000253067]
828.09.19={holder=1000265083} #Sani[1000253067]
852.09.10={holder=1000265086} #Kashim[1000253067]
875.12.19={holder=1000265090} #Hummay[1000253067]
909.09.30={holder=1000265095} #Bikorom[1000253067]
956.01.22={holder=1000265099} #Ghana[1000253067]
951.10.14={holder=1000265102} #Ali[1000253067]
977.07.11={holder=1000265107} #Abdul[1000253067]
1003.07.25={holder=1000265110} #Mufioma[1000253067]
1025.02.08={holder=1000265114} #Abdallah[1000253067]
1066.10.28={holder=1000265115} #Galrima[1000253067]
1075.4.3={holder=1000265117} #Musa[1000253067]
1107.05.16={holder=1000265118} #Madu[1000253067]
1125.10.26={holder=1000265120} #Bikorom[1000253067]
1151.08.10={holder=1000265124} #Buyuma[1000253067]
1190.06.12={holder=1000265128} #Ghana[1000253067]
1215.10.15={holder=1000265131} #Ghana[1000253067]
1231.01.07={holder=1000265134} #Gaji[1000253067]
1269.10.18={holder=1000265138} #Alooma[1000253067]
1296.07.21={holder=1000265140} #Arku[1000253067]
1320.04.13={holder=1000265143} #Sef[1000253067]
