#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

########################
#
#	#Great Schism events"
#
########################

## Narrate Schism Prevented
# Title
PlusGreatSchism_003_title;The Patriarch Supreme;;Der Oberste Patriarch;;;;;;;;;;;x

# Text
PlusGreatSchism_003_text_pope_1;Today Pope [Root.GetFirstName] ascends the steps of St. Peter's Basilica in Rome to become the Patriarch Supreme -- head of the Christian Church and undisputed leader of both the Greek and Latin versions of the faith. Thanks to the piety and power of [From.GetTitledName] backing [Root.GetHerHim], the divisions within the Church have now been healed...or, at least, the possibility of schism has been entirely removed. Christians can finally move forward, united in their common belief against the array of enemies who had been, up to this point, fervently praying for the Church to be rent asunder.;;Heute erklimmt Papst [Root.GetFirstName] die Stufen des Petersdoms in Rom und wird zum Obersten Patriarchen ernannt - zum Oberhaupt der christlichen Kirche und unangefochtenen Führer der griechischen und lateinischen Version des Glaubens. Dank der Frömmigkeit und der Macht von [From.GetTitledName], der [Root.GetHerHim] unterstützt, sind die Spaltungen innerhalb der Kirche nun geheilt ... oder zumindest ist die Möglichkeit einer Spaltung vollständig beseitigt. Die Christen können endlich vorwärts gehen, geeint in ihrem gemeinsamen Glauben gegen die vielen Feinde, die bis zu diesem Zeitpunkt inbrünstig dafür gebetet hatten, dass die Kirche auseinandergerissen wird.;;;;;;;;;;;x
PlusGreatSchism_003_text_pope_2;Today Pope [Root.GetFirstName] ascends the steps of St. Peter's Basilica in Rome to become the Patriarch Supreme -- head of the Christian Church and undisputed leader of both the Greek and Latin versions of the faith. Thanks to [Root.GetHerHis] piety and power, the divisions within the Church have now been healed...or, at least, the possibility of schism has been entirely removed. Christians can finally move forward, united in their common belief against the array of enemies who had been, up to this point, fervently praying for the Church to be rent asunder.;;Heute erklimmt Papst [Root.GetFirstName] die Stufen des Petersdoms in Rom und wird zum Obersten Patriarchen ernannt - zum Oberhaupt der christlichen Kirche und unangefochtenen Führer der griechischen und lateinischen Version des Glaubens. Dank der Frömmigkeit und der Macht von [Root.GetHerHis] sind die Spaltungen innerhalb der Kirche nun geheilt ... oder zumindest ist die Möglichkeit einer Spaltung vollständig beseitigt. Die Christen können endlich vorwärts gehen, vereint in ihrem gemeinsamen Glauben gegen die Schar der Feinde, die bis zu diesem Zeitpunkt inbrünstig dafür gebetet hatten, dass die Kirche auseinandergerissen wird.;;;;;;;;;;;x
PlusGreatSchism_003_text_patriarch_1;Today Ecumenical Patriarch [Root.GetFirstName] ascends the steps of the Hagia Sophia in Constantinople to become the Patriarch Supreme -- head of the Christian Church and undisputed leader of both the Greek and Latin versions of the faith. Thanks to the piety and power of [From.GetTitledName] backing [Root.GetHerHim], the divisions within the Church have now been healed...or, at least, the possibility of schism has been entirely removed. Christians can finally move forward, united in their common belief against the array of enemies who had been, up to this point, fervently praying for the Church to be rent asunder.;;Heute erklimmt der Ökumenische Patriarch [Root.GetFirstName] die Stufen der Hagia Sophia in Konstantinopel und wird zum Obersten Patriarchen ernannt - zum Oberhaupt der christlichen Kirche und unangefochtenen Führer der griechischen und lateinischen Version des Glaubens. Dank der Frömmigkeit und der Macht von [From.GetTitledName], der [Root.GetHerHim] unterstützt, sind die Spaltungen innerhalb der Kirche nun geheilt ... oder zumindest wurde die Möglichkeit einer Spaltung vollständig beseitigt. Die Christen können endlich vorwärts gehen, geeint in ihrem gemeinsamen Glauben gegen die vielen Feinde, die bis zu diesem Zeitpunkt inbrünstig dafür gebetet hatten, dass die Kirche auseinandergerissen wird.;;;;;;;;;;;x
PlusGreatSchism_003_text_patriarch_2;Today Ecumenical Patriarch [Root.GetFirstName] ascends the steps of the Hagia Sophia in Constantinople to become the Patriarch Supreme -- head of the Christian Church and undisputed leader of both the Greek and Latin versions of the faith. Thanks to [Root.GetHerHis] piety and power, the divisions within the Church have now been healed...or, at least, the possibility of schism has been entirely removed. Christians can finally move forward, united in their common belief against the array of enemies who had been, up to this point, fervently praying for the Church to be rent asunder.;;Heute erklimmt der Ökumenische Patriarch [Root.GetFirstName] die Stufen der Hagia Sophia in Konstantinopel und wird zum Obersten Patriarchen ernannt - zum Oberhaupt der christlichen Kirche und unangefochtenen Führer der griechischen und lateinischen Version des Glaubens. Dank der Frömmigkeit und der Macht von [Root.GetHerHis] sind die Spaltungen innerhalb der Kirche nun geheilt ... oder zumindest ist die Möglichkeit einer Spaltung vollständig beseitigt. Die Christen können endlich vorwärts gehen, vereint in ihrem gemeinsamen Glauben gegen die vielen Feinde, die bis zu diesem Zeitpunkt inbrünstig dafür gebetet hatten, dass die Kirche auseinandergerissen wird.;;;;;;;;;;;x

# Options
PlusGreatSchism_003_1a;Hail to [Root.GetHerHisCap] Holiness!;;Heil der [Root.GetHerHisCap] Heiligkeit!;;;;;;;;;;;x
PlusGreatSchism_003_1b;So there will be no schism? How unexpected.;;Es wird also kein Schisma geben? Wie unerwartet.;;;;;;;;;;;x
PlusGreatSchism_003_1c;This does not bode well...;;Das verheißt nichts Gutes...;;;;;;;;;;;x

## Narrate Schism Occurs
# Title
PlusGreatSchism_005_title;The Great Schism;;Das große Schisma;;;;;;;;;;;x

# Text
PlusGreatSchism_005_text;The inevitable has finally occurred: a delivery of a bull of excommunication to [b_hagiasophia.Holder.GetTitledName] by [k_papacy.Holder.GetTitledName] has been responded to in kind. The mutual excommunication follows on the heels of what is reported to be a series of terse letters over Christian doctrine, each building on the growing divisions between Latin and Greek Christianity. While few are treating the event as noteworthy at the moment, the reality of the situation is that Rome and Constantinople have grown apart to the point where any hope of reconciliation has been completely lost. They have, in truth, become two separate faiths operating under their separate religious heads, despite the Pope's and the Ecumenical Patriarch's assurances to the contrary.;;Das Unvermeidliche ist endlich eingetreten: Auf die Übergabe einer Exkommunikationsbulle an [b_hagiasophia.Holder.GetTitledName] durch [k_papacy.Holder.GetTitledName] wurde mit einer entsprechenden Antwort reagiert. Die gegenseitige Exkommunikation folgt auf eine Reihe von knappen Briefen über die christliche Lehre, die jeweils auf den wachsenden Spaltungen zwischen der lateinischen und der griechischen Christenheit aufbauen. Auch wenn dieses Ereignis im Moment nur von wenigen beachtet wird, so ist es doch eine Tatsache, dass sich Rom und Konstantinopel so weit voneinander entfernt haben, dass jede Hoffnung auf eine Versöhnung völlig verloren ist. In Wahrheit sind sie zu zwei getrennten Glaubensgemeinschaften geworden, die trotz gegenteiliger Beteuerungen des Papstes und des Ökumenischen Patriarchen unter getrennten religiösen Vorzeichen agieren.;;;;;;;;;;;x

# Options
PlusGreatSchism_005_1a;We follow the Bishop of Rome;;Wir folgen dem Bischof von Rom;;;;;;;;;;;x
PlusGreatSchism_005_1b;We follow the Ecumenical Patriarch;;Wir folgen dem Ökumenischen Patriarchen;;;;;;;;;;;x
PlusGreatSchism_005_1c;This is of great concern...;;Dies ist von großer Bedeutung...;;;;;;;;;;;x
PlusGreatSchism_005_1d;So Christianity divides itself yet again;;Das Christentum spaltet sich also wieder einmal;;;;;;;;;;;x


## Choose Chalcedonian rights on religious conversion
PlusGreatSchism_041_text;Now that I have become a practicing [Root.Religion.GetName] [Root.GetGirlWomanBoyMan], I must choose to follow the Greek or Latin rites of the faith.;;Da ich nun ein praktizierender [Root.Religion.GetName] [Root.GetGirlWomanBoyMan] geworden bin, muss ich mich entscheiden, ob ich den griechischen oder lateinischen Riten des Glaubens folgen will.;;;;;;;;;;;x
PlusGreatSchism_041_1;I shall follow the Latin rites;;Ich werde den lateinischen Riten folgen;;;;;;;;;;;x
PlusGreatSchism_041_2;I shall follow the Greek rites;;Ich folge dem griechischen Ritus;;;;;;;;;;;x
PlusGreatSchism_041_3;I shall follow the Iconoclast rites;;Ich folge dem Ikonoklasten-Ritus;;;;;;;;;;;x


## Patriarch demands that a priest switch rites
# Descriptions
