#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_900;I have served my liege loyally. Perhaps I should try to make friends with [Root.Liege.GetHerHim].;;Ich habe meinem Lehnsherrn treu gedient. Vielleicht sollte ich versuchen, mich mit [Root.Liege.GetHerHim] anzufreunden.;;;x
EVTOPTA_Plus_900;Let's try.;;Lasst es uns versuchen.;;;x
EVTOPTB_Plus_900;Maybe later...;;Vielleicht später...;;;x
EVTDESC_Plus_901;My [GetFromRelation], [From.GetTitledFirstName], approached me after a council meeting today and asking me to join [From.GetHerHim] for supper. We both had a grand time, and I think perhaps I should continue to spend time with [From.GetFirstName].;;Mein [GetFromRelation], [From.GetTitledFirstName], sprach mich heute nach einer Ratssitzung an und bat mich, mit [From.GetHerHim] zu Abend zu essen. Wir haben uns beide prächtig amüsiert, und ich denke, ich sollte vielleicht weiterhin Zeit mit [From.GetFirstName] verbringen.;;;x
EVTOPTA_Plus_901;Let's be friends, [From.GetFirstName].;;Lass uns Freunde sein, [From.GetFirstName].;;;x
EVTOPTB_Plus_901;[This.GetTitle]s have no friends. Only subjects and enemies!;;[This.GetTitle]s haben keine Freunde. Nur Untertanen und Feinde!;;;x
EVTDESC_Plus_902;I dined with my liege and now the two of us have agreed to go meet again within the fortnight. I think this is the beginning to a beautiful friendship!;;Ich habe mit meinem Lehnsherrn zu Abend gegessen, und jetzt haben wir beide vereinbart, uns innerhalb von zwei Wochen wieder zu treffen. Ich glaube, dies ist der Beginn einer wunderbaren Freundschaft!;;;x
EVTDESC_Plus_903;[From.GetTitledFirstName] and I had a great time at supper, but [From.GetSheHe] refused my kind offer to meet again. Perhaps another time...;;[From.GetTitledFirstName] und ich haben uns beim Abendessen prächtig amüsiert, aber [From.GetSheHe] hat mein freundliches Angebot für ein weiteres Treffen abgelehnt. Vielleicht ein anderes Mal...;;;x
EVTDESC_Plus_905;I feel the need to talk to someone. Perhaps one of my courtiers will entertain me.;;Ich habe das Bedürfnis, mit jemandem zu sprechen. Vielleicht wird mich einer meiner Höflinge unterhalten.;;;x
EVTOPTA_Plus_905;Let's see what they have to say.;;Mal sehen, was sie zu sagen haben.;;;x
EVTOPTB_Plus_905;I'm not interested in these people.;;Ich bin nicht an diesen Leuten interessiert.;;;x
EVTDESC_Plus_906;[From.GetTitledFirstName] came by to talk with me today. We discussed many interesting subjects and [From.GetSheHe] seemed quite pleased. [From.GetSheHe] suggested that perhaps we should meet for a bottle of wine sometime.;;[From.GetTitledFirstName] kam heute vorbei, um mit mir zu sprechen. Wir haben viele interessante Themen besprochen, und [From.GetSheHe] schien recht zufrieden. [From.GetSheHe] schlug vor, dass wir uns vielleicht einmal auf eine Flasche Wein treffen sollten.;;;x
EVTOPTA_Plus_906;That sounds great!;;Das klingt großartig!;;;x
