#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_2800;As you wander the markets you notice a new trend of religiously themed kilim. Some are more vibrant in colors with fanciful shapes, while others are more simple.\n\nAfter wandering past the stalls for a while you wonder if perhaps you should buy one for yourself.;;Beim Schlendern über den Markt fällt Ihnen ein neuer Trend zu religiös motivierten Kelims auf. Einige haben leuchtende Farben und phantasievolle Formen, andere sind schlichter. Nachdem Sie eine Weile an den Ständen vorbeigeschlendert sind, fragen Sie sich, ob Sie vielleicht einen für sich selbst kaufen sollten.;;;x
EVTOPTA_Plus_2800;I'll take the finest one;;Ich nehme das schönste;;;x
EVTOPTB_Plus_2800;A modest one is fine;;Ein bescheidenes ist gut;;;x
EVTOPTC_Plus_2800;The cheap one will do;;Die billige reicht mir;;;x
EVTOPTD_Plus_2800;Bah, I don't need a new kilim;;Bah, ich brauche keinen neuen Kelim;;;x
EVTDESC_Plus_2801;It would seem some ill-advised bets you took in the past have come back to haunt you.\nYou ponder about making an even bigger bet to pay off your debt and seeking aid from Afri, the goddess of fortune.;;Es sieht so aus, als ob einige unüberlegte Wetten, die du in der Vergangenheit abgeschlossen hast, dich jetzt wieder einholen. Du überlegst, ob du eine noch größere Wette abschließen sollst, um deine Schulden zu begleichen und die Glücksgöttin Afri um Hilfe zu bitten.;;;x
EVTOPTA_Plus_2801;I'll take the bet and make a sacrifice to Afri;;Ich nehme die Wette an und bringe Afri ein Opfer.;;;x
EVTOPTB_Plus_2801;I'll take that bet and pray for the best;;Ich nehme die Wette an und bete für das Beste;;;x
EVTOPTC_Plus_2801;No, this ends here;;Nein, das endet hier.;;;x
EVTDESC_Plus_2802;The gamble worked! You even gained more than you owed.;;Das Glücksspiel hat funktioniert! Du hast sogar mehr gewonnen, als du geschuldet hast.;;;x
EVTOPTA_Plus_2802;Praise Afri;;Gelobt sei Afri!;;;x
EVTDESC_Plus_2803;Despite your pleas to Afri the gamble failed. Even worse your creditors demand the money immediately.;;Trotz deiner Bitten an Afri ist das Glücksspiel gescheitert. Noch schlimmer ist, dass deine Gläubiger das Geld sofort einfordern.;;;x
EVTOPTA_Plus_2803;Afri has forsaken me;;Afri hat mich im Stich gelassen;;;x
EVTDESCA_Plus_2804;As you stroll through town you notice a young girl embracing her father. Having no children of your own, you wonder how nice it might be to become the target of such affection.;;Als du durch die Stadt schlenderst, bemerkst du ein junges Mädchen, das ihren Vater umarmt. Da du selbst keine Kinder hast, fragst du dich, wie schön es wohl wäre, das Ziel solcher Zuneigung zu werden.;;;x
EVTDESCB_Plus_2804;As you stroll through town you notice a young girl embracing her mother. Having no children of your own, you wonder how nice it might be to become the target of such affection.;;Während du durch die Stadt schlenderst, bemerkst du ein junges Mädchen, das seine Mutter umarmt. Da du selbst keine Kinder hast, fragst du dich, wie schön es wäre, das Ziel solcher Zuneigung zu werden.;;;x
EVTOPTA_Plus_2804;I'll make an offering to Afri;;Ich werde Afri ein Opfer bringen;;;x
EVTOPTB_Plus_2804;I'll pray to Afri;;Ich werde zu Afri beten;;;x
EVTOPTC_Plus_2804;If it's meant to be, it will happen;;Wenn es so sein soll, wird es geschehen;;;x
