ca_armory;Armory;x
ca_armory_desc;A fortified room were weapons and armors are stored at.;x
ca_bakehouse;Bakehouse;x
ca_bakehouse_desc;A building dedicated to the creation of baked goods.;x
ca_barracks;Barracks;x
ca_barracks_desc;A smelly room filled with guards awaiting for an assignment.;x
ca_curtain_walls;Curtain Walls;x
ca_curtain_walls_desc;Thick curtain walls that surround the castle buildings like a strong shield.;x
ca_dungeon;Dungeon;x
ca_dungeon_desc;Prisoners are thrown in these dark cells awaiting for a judgement to be passed onto them.;x
ca_escape_tunnel;Escape Tunnel;x
ca_escape_tunnel_desc;Hidden tunnel which leads to the outside of the castle.;x
ca_flanking_towers;Flanking Towers;x
ca_flanking_towers_desc;Towers usually built as a part of the curtain wall.;x
ca_forge;Forge;x
ca_forge_desc;This hot forge is used to constanty produce weapons and armors for the soldiers.;x
ca_great_chambers;Great Chambers;x
ca_great_chambers_desc;Magnificant chambers dedicated to the nobility.;x
ca_judgement_hall;Judgement Hall;x
ca_judgement_hall_desc;A large hall designated for the lord to pass judgements to the commoners.;x
ca_kitchens;Kitchens;x
ca_kitchens_desc;The finests meals are prepared in these kitchens for the nearby nobility.;x
ca_machicolations;Machicolations;x
ca_machicolations_desc;Stone boxes with holes used for dropping stones on attackers.;x
ca_moat;Moat;x
ca_moat_desc;A shallow moat filled with water in order to slow down the attackers.;x
ca_murder_holes;Murder Holes;x
ca_murder_holes_desc;Openings in the ceiling in front of the gate in order to drop hot liquids down to the attackers.;x
ca_priest_house;Priest's House;x
ca_priest_house_desc;A small shack reserved for the castle priest.;x
ca_squire_hall;Squires Hall;x
ca_squire_hall_desc;A hall filled with the finest knights this county has ever seen.;x
ca_stable;Stables;x
ca_stable_desc;Stables used to store the warhorses.;x
ca_stone_keep;Stone Keep;x
ca_stone_keep_desc;An imposing keep made out of stone.;x
ca_storage;Storage;x
ca_storage_desc;A room filled with supplies needed to survive a long siege.;x
ca_training_fields;Training Fields;x
ca_training_fields_desc;A small arena used to drill troops into shape.;x
ct_apothecary;Apothecary;x
ct_apothecary_desc;The city apothecary can be found mixing ingredients in this shack.;x
ct_barber;Barber;x
ct_barber_desc;Three chairs are situated in the corner of this room for the local barber to use.;x
ct_brewery;Brewery;x
ct_brewery_desc;This building is utilized in the making of beer.;x
ct_brothel;Brothel;x
ct_brothel_desc;Shady figures are seen entering and exiting this building filled with prostitutes.;x
ct_carpenter;Carpenter;x
ct_carpenter_desc;The local carpenter can be found creating wood platforms for the galleys.;x
ct_charcoal_maker;Charcoal Maker;x
ct_charcoal_maker_desc;A lonely hut utilized for charcoal burning.;x
ct_church;Church;x
ct_church_desc;A church giving faith to the city habitants.;x
ct_cobbler;Cobbler;x
ct_cobbler_desc;A small stand utilized by the local cobbler in mending broken shoes needing repair.;x
ct_dockyard;Dockyard;x
ct_dockyard_desc;A sea zone reserved for the storing of ships.;x
ct_farmland;Farmland;x
ct_farmland_desc;Huge tracts of land reserved for agriculture.;x
ct_inn;Inn;x
ct_inn_desc;An inn offering a place to rest for people passing by.;x
ct_market_square;Market Square;x
ct_market_square_desc;Many stands can be found gathering around the town center during market days.;x
ct_mason;Mason;x
ct_mason_desc;An outdoor location dedicated to the making of stonework.;x
ct_meadow;Meadow;x
ct_meadow_desc;Land used to feed the local pasture.;x
ct_mill;Mill;x
ct_mill_desc;Big windmills are used to grind grain into flour.;x
ct_shipyard;Shipyard;x
ct_shipyard_desc;A sea zone reserved for the building and repairing of ships.;x
ct_tavern;Tavern;x
ct_tavern_desc;A local tavern used to generate income from the thirsty peasants.;x
ct_town_hall;Town Hall;x
ct_town_hall_desc;The center of the city were the mayor is located at.;x
ct_university;University;x
ct_university_desc;A grand university were the rich burghers and nobility can gain an education.;x
ct_warehouse;Warehouse;x
ct_warehouse_desc;A huge building used to store various raw materials.;x
fo_arrow_maker;Arrow Maker;x
fo_arrow_maker_desc;A small shack reserved for the creation of arrows.;x
fo_brimstones;Brimstones;x
fo_brimstones_desc;Various brimstones scattered around the outside fort in order to slow down the enemy movement.;x
fo_caltrops;Caltrops;x
fo_caltrops_desc;Various caltrops scattered around the outside fort in order to slow down the enemy movement.;x
fo_command_tent;Command Tent;x
fo_command_tent_desc;An impressive tent set aside for the commanding general.;x
fo_common_tents;Common Tents;x
fo_common_tents_desc;Increased number of tents which allow for more troops to be stationed here.;x
fo_forager_huts;Forager Huts;x
fo_forager_huts_desc;Forager huts are set aside for the collection of local fruits and vegetables.;x
fo_hitching_post;Hitching Posts;x
fo_hitching_post_desc;Proper hitchings posts which allow for cavalry to be stationed here.;x
fo_oil_pits;Oil Pits;x
fo_oil_pits_desc;Various oil pits scattered around the outside fort which can be ignated in case of an attack.;x
fo_outer_palisade;Outer Palisade;x
fo_outer_palisade_desc;A small palisade located around the outer main wall.;x
fo_quartermaster;Quartermaster;x
fo_quartermaster_desc;The quartermaster is in charge of the distribution of meals and handing out the necessary provisions.;x
fo_ramparts;Ramparts;x
fo_ramparts_desc;A dug out trench which is designate to slow down attackers.;x
fo_reinforced_walls;Reinforced Walls;x
fo_reinforced_walls_desc;A small inner stone wall reinforcement applied to the main wall.;x
fo_senior_tents;Senior Tents;x
fo_senior_tents_desc;A few large tents set aside for the army's elites.;x
fo_spear_bracing_spots;Spear Braces;x
fo_spear_bracing_spots_desc;Marked spots which spearmen can position themselves in case of an attack.;x
fo_spike_traps;Spike Traps;x
fo_spike_traps_desc;Various spike traps scattered around the outside fort which are hidden from the attackers.;x
fo_stakes;Stakes;x
fo_stakes_desc;Various stakes scattered around the outside fort in order to impale the enemy cavalry.;x
fo_supply_tent;Supply Tent;x
fo_supply_tent_desc;A supply tent which stores the local army's supplies.;x
fo_training_dummies;Training Dummies;x
fo_training_dummies_desc;A few training dummies installed near the fort walls which troops can use to practice with.;x
fo_watchtower;Watchtower;x
fo_watchtower_desc;A large watchtower located near the fort entrance.;x
fo_wooden_barbican;Wooden Barbican;x
fo_wooden_barbican_desc;A small wooden barbican located right outside of the fort's gate.;x
fp_administrative_office;Administrative Office;x
fp_administrative_office_desc;An office were all the family's advisors meet to have discussions.;x
fp_art_collection;Art Collection;x
fp_art_collection_desc;A private art collection showing off the family's wealth.;x
fp_chancellor;Chancellor Quarters;x
fp_chancellor_desc;Quarters set aside for the family Chancellor.;x
fp_chaplain;Chaplain Quarters;x
fp_chaplain_desc;Quarters set aside for the family Chaplain.;x
fp_crossbow_workshop;Crosswbow Workshop;x
fp_crossbow_workshop_desc;A workshop dedicated to the construction of crossbows.;x
fp_maze;Maze;x
fp_maze_desc;A tall grass maze located in the back of the palace.;x
fp_mansion;Mansion;x
fp_mansion_desc;An upgraded framework for the royal palace.;x
fp_map_room;Map Room;x
fp_map_room_desc;A room which is used by the family ships to plan long sea voyages.;x
fp_marshal;Marshal Quarters;x
fp_marshal_desc;Quarters set aside for the family Marshal.;x
fp_meditation_room;Meditation Room;x
fp_meditation_room_desc;A quiet and secluded room utilized for prayers.;x
fp_mercenary_contractors;Mercenary Contractors;x
fp_mercenary_contractors_desc;Soldiers of fortune contracted by the family to assist in their disputes.;x
fp_minter;Minter;x
fp_minter_desc;A minting facility used to mint new coins.;x
fp_poleaxe_workshop;Poleaxe Workshop;x
fp_poleaxe_workshop_desc;A workshop dedicated to the construction of poleaxes.;x
fp_riding_grounds;Riding Grounds;x
fp_riding_grounds_desc;Grounds were the newborn family members learn how to ride a horse.;x
fp_royal_escorts;Royal Escorts;x
fp_royal_escorts_desc;Royal guards swore to protect the family.;x
fp_royal_guards;Royal Guards;x
fp_royal_guards_desc;Royal guards swore to protect the family palace.;x
fp_spymaster;Spymaster Quarters;x
fp_spymaster_desc;Quarters set aside for the family Spymaster.;x
fp_steward;Steward Quarters;x
fp_steward_desc;Quarters set aside for the family Steward.;x
fp_vault;Vault;x
fp_vault_desc;An underground room containing all the family riches.;x
fp_cellar;Wine Cellar;x
fp_cellar_desc;A wine cellar often utilized by for love affairs.;x
ho_abomination_stand;Abomination Stand;x
ho_abomination_stand_desc;A stand utilized by the hospital to display lepers and the sick in order to generate some revenue from entertainment.;x
ho_alchemist_hut;Alchemist Hut;x
ho_alchemist_hut_desc;A secluded hut located in the outskirts of the hospital used by the local alchemist.;x
ho_archive_room;Archive Room;x
ho_archive_room_desc;A room filled with dusty treatment books.;x
ho_autopsy_room;Autopsy Room;x
ho_autopsy_room_desc;A room used to dissect the dead in order to further study the human body.;x
ho_chapel;Chapel;x
ho_chapel_desc;A small chapel located inside the hospital.;x
ho_games_room;Games Room;x
ho_games_room_desc;A room filled with board games and chess pieces.;x
ho_garden;Garden;x
ho_garden_desc;A garden located at the front of the hospital.;x
ho_healer_quarters;Healer's Quarters;x
ho_healer_quarters_desc;Healers can be found attending to the sick in these welcoming rooms.;x
ho_isolation_cells;Isolation Cells;x
ho_isolation_cells_desc;Cells housing patients awaiting for an exorcism.;x
ho_leper_colony;Leper Colony;x
ho_leper_colony_desc;These colonies house all the lepers of this province.;x
ho_medical_academy;Medical Academy;x
ho_medical_academy_desc;Aspiring healers receive their education in this academy.;x
ho_observatory;Observatory;x
ho_observatory_desc;An oval office located at the top of the hospital were astrological observations can be made.;x
ho_pilgrim_inn;Pilgrim's Inn;x
ho_pilgrim_inn_desc;Weary travelers can be found entering and exiting this building constantly.;x
ho_refugee_docks;Refugee Docks;x
ho_refugee_docks_desc;These docks are used to catalog and welcome new immigrants to the province.;x
ho_sick_house;Sick House;x
ho_sick_house_desc;A small building were the non-critical patients are housed at.;x
ho_soup_kitchen;Soup Kitchen;x
ho_soup_kitchen_desc;Soup kitchens which are used to feed the ill.;x
ho_surgery_room;Surgery Room;x
ho_surgery_room_desc;Patients in critical conditions are typically rushed to this room.;x
ho_tailor_room;Tailor's Room;x
ho_tailor_room_desc;A room used by the local tailor to produce linen for the patients beds.;x
ho_translation_house;Translation House;x
ho_translation_house_desc;A place were foreign refugees can communicate with the locals.;x
ho_well;Well;x
ho_well_desc;A deep stone well located in the back of the hospital.;x
no_airag_brewer;Airag Brewer;x
no_airag_brewer_desc;Large jugs of fermented milk are stored for usage during celebrations.;x
no_armor_crafter;Armor Crafter;x
no_armor_crafter_desc;Tents used to fabricate the clan's armors.;x
no_camp_fortifications;Camp Fortifications;x
no_camp_fortifications_desc;An enclosed field with various spikes surrounding the encampment.;x
no_cattle_pens;Cattle Pens;x
no_cattle_pens_desc;Enclosed pens utilized for the breeding of cattle.;x
no_gathering_yurt;Gathering Yurt;x
no_gathering_yurt_desc;The biggest yurt located in the center of the encampment.;x
no_goat_pens;Goat Pens;x
no_goat_pens_desc;Enclosed pens which house various goats.;x
no_horse_breeder;Horse Breeder;x
no_horse_breeder_desc;Enclosed pens utilized for the breeding of horses.;x
no_horse_pens;Horse Pens;x
no_horse_pens_desc;Enclosed pens which house various horses.;x
no_khan_yurt;Khan's Yurt;x
no_khan_yurt_desc;The Khan's personal yurt.;x
no_meat_preserver;Meat Preserver;x
no_meat_preserver_desc;A tent containing various meats hanging from the ceiling with metal hooks.;x
no_music_crafter;Music Crafter;x
no_music_crafter_desc;Wood is carved here in order to create various musical instruments.;x
no_ox_wagons;Ox Wagons;x
no_ox_wagons_desc;Huge animals with the sole purposes of dragging wagons around.;x
no_ritual_post;Ritual Post;x
no_ritual_post_desc;An outdoor location dedicated to the making of stonework.;x
no_sheep_pens;Sheep Pens;x
no_sheep_pens_desc;Enclosed pens which house various sheep.;x
no_storage_yurt;Storage Yurt;x
no_storage_yurt_desc;A yurt used to store local supplies.;x
no_totem_crafter;Totem Crafter;x
no_totem_crafter_desc;Stones are chipped here in order to create various figurines.;x
no_weapon_crafter;Weapon Crafter;x
no_weapon_crafter_desc;Tents used to fabricate the clan's weapons.;x
no_wrestling_pit;Wrestling Pit;x
no_wrestling_pit_desc;Enclosed pits used to practice wrestling.;x
no_yam;Yam;x
no_yam_desc;A relay post which is used to send and receive messages.;x
no_yurts;Yurts;x
no_yurts_desc;A sprawling village filled with the clan's residents.;x
tb_arena;Arena;x
tb_arena_desc;A round enclosed field were people compete for fame and glory.;x
tb_armorsmith;Armorsmith;x
tb_armorsmith_desc;A forge dedicated to the creation of shields and armors.;x
tb_arsenal;Arsenal;x
tb_arsenal_desc;An underground storage for weapons and armors.;x
tb_chief_hall;Chief's Hall;x
tb_chief_hall_desc;A large room were the chief resolves all the disputes happening in the realm.;x
tb_cultivated_land;Cultivated Land;x
tb_cultivated_land_desc;Land set aside for agricultural purposes.;x
tb_fishing_huts;Fishing Huts;x
tb_fishing_huts_desc;Various fishing huts located near the nearby river.;x
tb_fletcher;Fletcher;x
tb_fletcher_desc;A store providing bows for the village's hunters.;x
tb_great_hall;Great Hall;x
tb_great_hall_desc;A spacious hall were only the strongest warriors are allowed to reside.;x
tb_horse_barn;Horse barn;x
tb_horse_barn_desc;Horse pens were the village's mounts are stored at.;x
tb_hunting_lodge;Hutning Lodge;x
tb_hunting_lodge_desc;Hunters utilize this facility after catching some game.;x
tb_kennel;Kennel;x
tb_kennel_desc;A loud kennel were wardogs are trained in the arts of warfare.;x
tb_mead_hall;Mead Hall;x
tb_mead_hall_desc;An essential building were all warriors gather to drink after a successful raid.;x
tb_military_wharf;Military Wharf;x
tb_military_wharf_desc;A wharf dedicated to the construction of military vessels.;x
tb_motte_bailey;Motte and Bailey;x
tb_motte_bailey_desc;Raised earthwork accompanied by an enclosed courtyard surrounded by a protective ditch and palisade.;x
tb_practice_range;Practice Range;x
tb_practice_range_desc;A round field were archers can practice their marksmanship skills.;x
tb_shrine;Shrine;x
tb_shrine_desc;A shrine dedicated to the worship of a deity.;x
tb_war_camp;War Camp;x
tb_war_camp_desc;The location were all the warriors gather and prepare for war.;x
tb_weaponsmith;Weaponsmith;x
tb_weaponsmith_desc;A forge dedicated to the creation of weapons.;x
tb_wooden_keep;Wooden Keep;x
tb_wooden_keep_desc;A wooden keep overlooking the nearby courtyard.;x
tb_wooden_portcullis;Wooden Portcullis;x
tb_wooden_portcullis_desc;A spiked wooden barrier which is lowered by chains from a chamber above the gateway.;x
tp_almonry;Almonry;x
tp_almonry_desc;A small house were alms are given out.;x
tp_bishop_house;Bishop's House;x
tp_bishop_house_desc;The house of the ruling bishop.;x
tp_dormitory;Dormitory;x
tp_dormitory_desc;The resting place of the local clergy.;x
tp_drawbridge;Drawbridge;x
tp_drawbridge_desc;A wooden drawbridge used to allow people inside the temple.;x
tp_dry_moat;Dry Moat;x
tp_dry_moat_desc;A dry moat used to slow down attackers.;x
tp_fishing_village;Fishing Village;x
tp_fishing_village_desc;A small fishing village located outside the temple.;x
tp_guest_house;Guests House;x
tp_guest_house_desc;A building set aside for the accomodations of wandering pilgrims.;x
tp_holy_barracks;Holy Barracks;x
tp_holy_barracks_desc;Barracks housing the local warriors of the faith.;x
tp_infirmary;Infirmary;x
tp_infirmary_desc;This infirmary allows priests to cure the sick in an enclosed environment.;x
tp_lay_brothers;Lay Brothers Quarters;x
tp_lay_brothers_desc;Uneducated peasants tending to the temple's farmland are located in this building.;x
tp_library;Library;x
tp_library_desc;A large library were scriptures are stored.;x
tp_militia_barracks;Militia Barracks;x
tp_militia_barracks_desc;Barracks housing the local militia.;x
tp_monastery;Monastery;x
tp_monastery_desc;The main building of the temple were rituals are performed.;x
tp_penance_cells;Penance Cells;x
tp_penance_cells_desc;Dark cells used by sinners in order to cleanse themselves of sins.;x
tp_sacred_paths;Sacred Paths;x
