#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_4050;Recently you've been noticing changes, both physically and otherwise. Hair grows where there used to be none but more importantly you seem to have begun having... new feelings for those of the same sex as you. You feel as if they are more than just simply friends, but can't quite grasp this new feeling. Perhaps I should ask someone what's happening to me?;;In letzter Zeit hast du Veränderungen bemerkt, sowohl körperlich als auch sonst. Haare wachsen, wo früher keine waren, aber was noch wichtiger ist: Du scheinst... neue Gefühle für Menschen desselben Geschlechts zu haben. Du hast das Gefühl, dass sie mehr als nur Freunde sind, aber du kannst dieses neue Gefühl nicht ganz begreifen. Vielleicht sollte ich jemanden fragen, was mit mir los ist?;;;x
EVTOPTA_PLUS_4050;I should ask my guardian!;;Ich sollte meinen Vormund fragen!;;;x
EVTOPTB_PLUS_4050;I'll think about it first;;Ich werde zuerst darüber nachdenken.;;;x
PLUS_4050_hover_ctt;§Y[From.GetTitledFirstNameNoRegnal]§! becomes §Yopenly homosexual§!.;;§Y[From.GetTitledFirstNameNoRegnal]§! wird zu §YOffen homosexuell§!.;;;x
EVTDESC_PLUS_4051;Your ward approaches you with a barrage of questions. It seems they've finally noticed that their body is maturing and have a barrage of questions about it. They all seem to be quite normal questions until one strikes you as... a bit queer. It couldn't be that they are possibly attracted to those of the same sex?;;Ihr Mündel kommt mit einer Flut von Fragen auf Sie zu. Es scheint, als hätten sie endlich bemerkt, dass ihr Körper reift, und sie haben eine ganze Reihe von Fragen dazu. Es scheinen alles ganz normale Fragen zu sein, bis dir eine davon... ein bisschen komisch vorkommt. Könnte es nicht sein, dass sie sich möglicherweise zu Menschen des gleichen Geschlechts hingezogen fühlen?;;;x
EVTOPTA_PLUS_4051;I'll beat it out of them just to be safe.;;Ich werde es aus ihnen herausprügeln, nur um sicherzugehen.;;;x
EVTOPTB_PLUS_4051;Lecture them on how inappropriate it is.;;Sie darüber belehren, wie unangebracht das ist.;;;x
EVTOPTC_PLUS_4051;I'm just reading too much into things...;;Ich interpretiere einfach zu viel hinein...;;;x
PLUS_4051_hover_ctt;Your ward §Y[From.GetTitledFirstNameNoRegnal]§! becomes §Yopenly homosexual§!.;;Ihr Mündel §Y[From.GetTitledFirstNameNoRegnal]§! wird §Yoffen homosexuell§!.;;;x
EVTDESC_PLUS_4052;I approached [From.GetTitledFirstNameNoRegnal] with my questions. This however sent them into a wild rage and I became the recipient of one of the worst beatings of my life. In the end none of my questions are answered.;;Ich habe mich mit meinen Fragen an [From.GetTitledFirstNameNoRegnal] gewandt. Das brachte sie jedoch in helle Aufregung, und ich wurde zum Opfer einer der schlimmsten Schläge meines Lebens. Am Ende wurde keine meiner Fragen beantwortet.;;;x
EVTOPTA_PLUS_4052;I am so confused...;;Ich bin so verwirrt...;;;x
EVTDESC_PLUS_4053;[From.GetTitledFirstNameNoRegnal] seems to be mildly irritated at what I said about those of the same sex and lectured me that those are completely inappropriate feelings I should steel myself against.;;[From.GetTitledFirstNameNoRegnal] scheint leicht irritiert zu sein über das, was ich über Menschen gleichen Geschlechts gesagt habe, und belehrt mich, dass das völlig unangemessene Gefühle sind, gegen die ich mich wappnen sollte.;;;x
EVTDESC_PLUS_4054;[From.GetTitledFirstNameNoRegnal] listens to your questions and whilst first seemingly perturbed decides to give you a long boring lecture on the natural order of things in regards to men and women. [From.GetSheHe] seems to have ignored the part that I asked about those of the same sex.;;[From.GetTitledFirstNameNoRegnal] hört sich deine Fragen an und beschließt, dir einen langen, langweiligen Vortrag über die natürliche Ordnung der Dinge in Bezug auf Männer und Frauen zu halten, obwohl er zunächst etwas beunruhigt wirkt. [From.GetSheHe] scheint den Teil ignoriert zu haben, in dem ich nach gleichgeschlechtlichen Menschen gefragt habe.;;;x
EVTDESCa_Plus_4055;You notice that you seem to learn things much quicker than the other children. You started speaking much earlier, walking earlier and even ask questions the others children can't answer.;;Dir fällt auf, dass du anscheinend viel schneller lernst als die anderen Kinder. Du hast viel früher angefangen zu sprechen, bist früher gelaufen und stellst sogar Fragen, die die anderen Kinder nicht beantworten können.;;;x
EVTDESCb_Plus_4055;It seems no matter what you try these two rocks you are smacking together won't go away. Maybe a big person can help do it?;;Egal, was du versuchst, die beiden Steine, die du aneinanderschlägst, scheinen nicht wegzugehen. Vielleicht kann eine große Person dabei helfen?;;;x
EVTOPTA_PLUS_4055;I'll just ask [Guardian.GetTitledFirstNameNoRegnal] instead!;;Ich werde stattdessen einfach [Guardian.GetTitledFirstNameNoRegnal] fragen!;;;x
EVTOPTB_PLUS_4055;I'll just keep asking questions!;;Ich werde einfach weiter Fragen stellen!;;;x
PLUS_4055a_hover_ctt;It turns out that you are a §GGenius§!.;;Es stellt sich heraus, dass du ein §GGenius§! bist.;;;x
PLUS_4055b_hover_ctt;It turns out that you are §GQuick§!.;;Es stellt sich heraus, dass du ein §GSchlauer§! bist.;;;x
PLUS_4055c_hover_ctt;It turns out that you are an §RImbecile§!.;;Es stellt sich heraus, dass du ein §RSchwachsinnig§! bist.;;;x
PLUS_4055d_hover_ctt;It turns out that you are §RSlow§!.;;Es stellt sich heraus, dass du ein §RLangsam§! bist.;;;x
EVTDESCa_PLUS_4056;Your ward §Y[From.GetTitledFirstNameNoRegnal]§! approaches you with a barrage of question. While not unusual for a child [From.GetHerHis] questions are surprisingly deep. You begin to realize that perhaps [From.GetSheHe] is smarter than the other children.;;Dein Mündel §Y[From.GetTitledFirstNameNoRegnal]§! kommt mit einer Flut von Fragen auf dich zu. Obwohl das für ein Kind nicht ungewöhnlich ist, sind [From.GetHerHis] Fragen erstaunlich tiefgründig. Du beginnst zu erkennen, dass [From.GetSheHe] vielleicht schlauer ist als die anderen Kinder.;;;x
EVTDESCb_PLUS_4056;Your ward §Y[From.GetTitledFirstNameNoRegnal]§! approaches you with a pair of rocks demanding you 'make them go away'. You begin to realize that [From.GetSheHe] is perhaps not the smartest child in the realm.;;Dein Mündel §Y[From.GetTitledFirstNameNoRegnal]§! kommt mit ein paar Steinen auf dich zu und verlangt, dass du sie "wegmachst". Dir wird langsam klar, dass [From.GetSheHe] vielleicht nicht das klügste Kind im Reich ist.;;;x
EVTOPTa_PLUS_4056;Fantastic!;;Fantastisch!;;;x
EVTOPTb_PLUS_4056;You hide the rocks to please the child;;Du versteckst die Steine, um dem Kind zu gefallen;;;x
PLUS_4056a_hover_ctt;It turns out that your ward §Y[From.GetTitledFirstNameNoRegnal]§! is a §YGenius§!.;;Es stellt sich heraus, dass dein Mündel §Y[From.GetTitledFirstNameNoRegnal]§! ein §YGenius§! ist.;;;x
