#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_CombatTraits_1;This war, this opportunity to prove my mettle in combat, has opened my eyes to my true potential as a warrior. My personal combat skills are improving...;;Dieser Krieg, diese Gelegenheit, mich im Kampf zu bewähren, hat mir die Augen für mein wahres Potenzial als Krieger geöffnet. Meine persönlichen Kampffähigkeiten verbessern sich...;;;x
EVTDESC_CombatTraits_110;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] with the CTA ambition [From.GetAmbition] (Martial: [From.GetMartial]).;;Mein [GetFromRelation], [From.GetBestName], hat im Alter von [From.GetAgeYears] mit dem CTA-Ehrgeiz [From.GetAmbition] (Martial: [From.GetMartial]) gerade XP aus einem Kampfimpuls erhalten.;;;x
EVTDESC_CombatTraits_111;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] (Martial: [From.GetMartial]).;;Mein [GetFromRelation], [From.GetBestName], hat im Alter von [From.GetAgeYears] gerade XP durch einen Kampfimpuls erhalten (Martial: [From.GetMartial]).;;;x
EVTDESC_CombatTraits_112;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] and earned XP (Ambition: [From.GetAmbition]).;;Mein [GetFromRelation], [From.GetBestName], war in einem Duell gegen [FromFrom.GetBestName] siegreich und verdiente XP (Ambition: [From.GetAmbition]).;;;x
EVTDESC_CombatTraits_113;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] but did not earn any XP (Ambition: [From.GetAmbition]).;;Mein [GetFromRelation], [From.GetBestName], war in einem Duell gegen [FromFrom.GetBestName] siegreich, hat aber keine XP verdient (Ambition: [From.GetAmbition]).;;;x
EVTDESC_CombatTraits_114;My [GetFromRelation], [From.GetBestName], leveled-up [From.GetHerHis] combat trait (Ambition: [From.GetAmbition]).;;Meine [GetFromRelation], [From.GetBestName], hat die Kampfeigenschaft [From.GetHerHis] aufgelevelt (Ehrgeiz: [From.GetAmbition]).;;;x
EVTDESC_CombatTraits_13;My combat victory against [FromFrom.GetTitledFirstName] was an insightful challenge to my own tactics. [FromFrom.GetSheHeCap] moved differently than I've come to expect and demonstrated a new, effective combat style to me. At no point was my victory certain, but I learned from [FromFrom.GetObjectPronoun] and finally defeated [FromFrom.GetObjectPronoun]. Certainly, I'm now a finer warrior.;;Mein Kampfsieg gegen [From.GetTitledFirstName] war eine aufschlussreiche Herausforderung für meine eigene Taktik. [FromFrom.GetSheHeCap] bewegte sich anders, als ich es gewohnt war, und demonstrierte mir einen neuen, effektiven Kampfstil. Mein Sieg war zu keinem Zeitpunkt sicher, aber ich habe aus [FromFrom.GetObjectPronoun] gelernt und schließlich [FromFrom.GetObjectPronoun] besiegt. Sicherlich bin ich jetzt ein besserer Kämpfer.;;;x
EVTDESC_CombatTraits_2;I've learned many lessons from this battle. Aside from application of the theoretical tactics my mentors taught me as a [Root.GetLadLass], I've learned to deftly isolate an opponent in the thick of the front, bring all my focus and concentration to bear upon him, and then, within but a few rounds of melee, swiftly execute him. I'm proud of my clear progression into a greater warrior.;;Ich habe viele Lektionen aus dieser Schlacht gelernt. Abgesehen von der Anwendung der theoretischen Taktiken, die mir meine Mentoren als [Root.GetLadLass] beigebracht haben, habe ich gelernt, einen Gegner in der vordersten Reihe geschickt zu isolieren, meine ganze Aufmerksamkeit und Konzentration auf ihn zu lenken und ihn dann innerhalb weniger Runden im Nahkampf schnell zu erledigen. Ich bin stolz auf meine klare Entwicklung zu einem größeren Krieger.;;;x
EVTDESC_CombatTraits_20;You asked [Root.Educator.GetTitledFirstName] to teach you how to fight better with a sword.;;Ihr habt [Root.Educator.GetTitledFirstName] gebeten, Euch zu lehren, wie man besser mit dem Schwert kämpft.;;;x
EVTDESC_CombatTraits_21;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;Unter meiner Anleitung meistert mein junger [GetFromRelation], [From.GetFirstName], langsam die Kunst des Schwertkampfes.;;;x
