#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_970;Automatic Distribution of Titles;;Automatische Verteilung von Titeln;;;x
EVTDESC_Plus_970;1) Right-click on the county's coat of arms and use the 'Raise Banner in X' option to flag holdings in that province as ones you want to keep. You can use the 'Lower Banner in X' option  to unflag provinces.\n\n2) Use either the 'Distribute All Barony Tier Holdings' or 'Distribute All Holdings' decision to hand out all non-flagged titles to random rulers.\n\n3) Use the 'End Distribution of Titles' decision to clear the other decisions from your list and to remove all existing flags.;;1) Klicken Sie mit der rechten Maustaste auf das Wappen der Grafschaft und verwenden Sie die Option "Banner in X anheben", um die Betriebe in dieser Provinz als solche zu kennzeichnen, die Sie behalten möchten. Mit der Option "Banner in X senken" können Sie die Kennzeichnung von Provinzen aufheben.\n\n2) Verwenden Sie entweder die Entscheidung "Alle Baronie-Tier-Besitze verteilen" oder "Alle Besitztümer verteilen", um alle nicht gekennzeichneten Titel an zufällige Herrscher zu verteilen.\n\n3) Verwenden Sie die Entscheidung "Verteilung der Titel beenden", um die anderen Entscheidungen aus Ihrer Liste zu löschen und alle vorhandenen Kennzeichnungen zu entfernen.;;;x
EVTOPTA_Plus_970;I understand;;Ich verstehe;;;x
EVTDESC_Plus_974;'My [Root.GetLordLady], the titles to the counties and baronies have been distributed, as per your orders. I trust the candidates are to your satisfaction.' -- Signed, [Root.job_marshal.GetTitledFirstName];;Mein [Root.GetLordLady], die Titel an die Grafschaften und Baronien wurden gemäß Euren Anweisungen verteilt. Ich hoffe, die Kandidaten sind zu Eurer Zufriedenheit.' -- Gezeichnet, [Root.job_marshal.GetTitledFirstName];;;x
EVTOPTA_Plus_974;I'm certain they are;;Ich bin sicher, dass sie es sind;;;x
EVTDESC_Plus_975;'My [Root.GetLordLady], the titles to the baronies have been distributed, as per your orders. I trust the candidates are to your satisfaction.' -- Signed, [Root.job_marshal.GetTitledFirstName];;Meine [Root.GetLordLady], die Titel der Baronien wurden gemäß Euren Befehlen verteilt. Ich hoffe, die Kandidaten sind zu Eurer Zufriedenheit.' -- Gezeichnet, [Root.job_marshal.GetTitledFirstName];;;x
EVTOPTA_Plus_975;I'm certain they are;;Ich bin mir sicher, dass sie es sind.;;;x
EVTOPTA_Plus_985;I will pay for my freedom, if I can afford it.;;Ich werde für meine Freiheit bezahlen, wenn ich es mir leisten kann.;;;x
EVTOPTB_Plus_985;I will not pay.;;Ich werde nicht bezahlen.;;;x
EVTDESC_Plus_985;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;;[Root.Host.GetTitledFirstName] hat angeboten, mich aus dem Gefängnis zu befreien, wenn ich ein Lösegeld zahle.;;;x
EVTDESC_Plus_986;We have received a ransom demand from [FromFrom.GetTitledName] for the safe return of [From.GetTitledName].;;Wir haben eine Lösegeldforderung von [FromFrom.GetTitledName] für die sichere Rückkehr von [From.GetTitledName] erhalten.;;;x
EVTOPTA_Plus_986;I will pay to get them back.;;Ich werde zahlen, um sie zurückzubekommen.;;;x
EVTOPTB_Plus_986;I will not pay to get them back.;;Ich werde nicht zahlen, um sie zurückzubekommen.;;;x
EVTDESC_Plus_987;The ransom has been denied!;;Das Lösegeld wurde verweigert!;;;x
EVTOPTA_Plus_987;Well, let them rot...;;Nun, sollen sie doch verrotten...;;;x
EVTDESC_Plus_991;You have chosen to become part of the [From.GetOnlyDynastyName] dynasty. What relation will [From.GetTitledFirstNameNoRegnal] be to you?;;Ihr habt Euch entschieden, Teil der Dynastie von [From.GetOnlyDynastyName] zu werden. In welcher Beziehung steht Ihr zu [From.GetTitledFirstNameNoRegnal]?;;;x
EVTOPTA_Plus_991;[From.GetSheHeCap] will be my [From.GetFatherMother];;[From.GetSheHeCap] wird mein [From.GetFatherMother] sein.;;;x
EVTOPTB_Plus_991_brother;He will be my brother;;Er wird mein Bruder sein;;;x
EVTOPTB_Plus_991_sister;She will be my sister;;Sie wird meine Schwester sein;;;x
EVTOPTC_Plus_991_nephew;He will be my nephew;;Er wird mein Neffe sein;;;x
EVTOPTC_Plus_991_niece;She will be my niece;;Sie wird meine Nichte;;;x
EVTOPTD_Plus_991_uncle;He will be my uncle;;Er wird mein Onkel sein;;;x
EVTOPTD_Plus_991_aunt;She will be my aunt;;Sie wird meine Tante sein;;;x
EVTOPTE_Plus_991;We will be only distantly related;;Wir werden nur entfernt verwandt sein;;;x
EVTOPTF_Plus_991;I've changed my mind...;;Ich habe meine Meinung geändert...;;;x
