#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Also used in soa_heresy_events.txt
ATTEMPT_IMPRISON;Attempt to have [This.GetHerHim] imprisoned;;Versuchen, [This.GetHerHim] ins Gefängnis zu bringen;;;;;;;;;;;x
DEBATE_CONVERSION;Convert [This.GetHerHim] through religious debate;;Bekehren Sie [This.GetHerHim] durch religiöse Debatte;;;;;;;;;;;x
IMPRISON_IF_REFUSE;     You will be able to imprison [This.GetHerHim] if [This.GetSheHe] refuses!\n;;     Ihr könnt [From.GetHerHim] inhaftieren, wenn [From.GetSheHe] sich weigert!;;;;;;;;;;;x
AGREES_TO_RELIGIOUS_DEBATE;[conversion_target.GetBestName] agrees to a religious debate.\n;;[conversion_target.GetBestName] stimmt einer religiösen Debatte zu.\n;;;;;;;;;;;x
RELIGIOUS_DEBATE_FAILS;The debate completely fails to convert [conversion_target.GetBestName]\n;;Die Debatte scheitert vollständig an der Bekehrung von [conversion_target.GetBestName]\n;;;;;;;;;;;x
RELIGIOUS_DEBATE_LIEGE_SYMPATHY;The debate makes [conversion_ruler.GetBestName] sympathetic to the [conversion_target.Religion.GetName] faith\n;;Die Debatte macht [conversion_ruler.GetBestName] sympathisch für den Glauben von [conversion_target.Religion.GetName]\n;;;;;;;;;;;x
RELIGIOUS_DEBATE_SUCCEEDS;The debate succeeds in converting [conversion_target.GetBestName]\n;;Durch die Debatte gelingt es, [conversion_target.GetBestName]\n zu bekehren;;;;;;;;;;;x
RELIGIOUS_DEBATE_SYMPATHY;The debate makes [conversion_target.GetBestName] sympathetic to the [conversion_ruler.Religion.GetName] faith\n;;Die Debatte macht [conversion_target.GetBestName] sympathisch für den Glauben von [conversion_ruler.Religion.GetName]\n;;;;;;;;;;;x
THREATEN_CONVERSION;Intimidate [This.GetHerHim] into converting;;[This.GetHerHim] zur Bekehrung verleiten;;;;;;;;;;;x

EVTDESC_GoPagan_100;For quite some time now you have watched the steady decline of the [Root.Religion.GetName] religion. You listen to the [Root.Religion.GetPriestTitle]s as they read from the [Root.Religion.GetScriptureName], and you can't help but wonder if they haven't lost their way. Perhaps the time has come to return to the ways of your [Root.Culture.GetName] ancestors?;;Seit geraumer Zeit beobachten Sie den stetigen Niedergang der Religion [Root.Religion.GetName]. Du hörst den [Root.Religion.GetPriestTitle]s zu, wenn sie aus der [Root.Religion.GetScriptureName] lesen, und du kannst nicht anders, als dich zu fragen, ob sie nicht ihren Weg verloren haben. Vielleicht ist es an der Zeit, zu den Wegen Ihrer [Root.Culture.GetName]-Vorfahren zurückzukehren?;;;;;;;;;;;x
EVTNAME_GoPagan_100;Adopting the Old Ways;;Die alten Sitten annehmen;;;;;;;;;;;x
EVTOPTA_GoPagan_100;Zoroaster will lead us to enlightenment!;;Zarathustra wird uns zur Erleuchtung führen!;;;;;;;;;;;x
EVTOPTB_GoPagan_100;It's time to visit the elder druids;;Es ist an der Zeit, die alten Druiden zu besuchen;;;;;;;;;;;x
EVTOPTC_GoPagan_100;To the gods of old!;;Zu den Göttern der Vergangenheit!;;;;;;;;;;;x
EVTOPTD_GoPagan_100;Valhalla awaits!;;Walhalla erwartet uns!;;;;;;;;;;;x
EVTOPTE_GoPagan_100;To the gods of old!;;Auf die alten Götter!;;;;;;;;;;;x
EVTOPTL_GoPagan_100;God will not lead us astray;;Gott wird uns nicht in die Irre führen;;;;;;;;;;;x
EVTOPTM_GoPagan_100;Let us look to the pantheon for guidance;;Lasst uns den Pantheon um Rat fragen;;;;;;;;;;;x
EVTOPTN_GoPagan_100;We will follow the teachings of Mani;;Wir werden den Lehren von Mani folgen;;;;;;;;;;;x
EVTOPTX_GoPagan_100;We will take a secret path!;;Wir werden einen geheimen Weg einschlagen!;;;;;;;;;;;x
EVTOPTZ_GoPagan_100;Maybe give them one more chance...;;Vielleicht geben wir ihnen noch eine Chance...;;;;;;;;;;;x
EVTNAME_GoPagan_125;In Search of Ancient Knowledge;;Auf der Suche nach altem Wissen;;;;;;;;;;;x
