#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_1200;I already rule the [Root.PrimaryTitle.GetFullName], but receiving an official [Root.Religion.GetName] coronation will legitimize my standing to my vassals. Now is the time to begin planning what is sure to be a lavish ceremony, attended by all!;;Ich herrsche bereits über [Root.PrimaryTitle.GetFullName], aber eine offizielle [Root.Religion.GetName] Krönung wird meine Stellung gegenüber meinen Vasallen legitimieren. Jetzt ist es an der Zeit, mit der Planung einer aufwendigen Zeremonie zu beginnen, an der alle teilnehmen werden!;;;x
EVTOPTA_Plus_1200;I must ask [religious_leader.GetTitledFirstNameNoRegnal] first;;Ich muss erst [religious_leader.GetTitledFirstNameNoRegnal] fragen;;;x
EVTOPTB_Plus_1200;A high ranking priest can perform the coronation;;Ein hochrangiger Priester kann die Krönung durchführen;;;x
EVTOPTC_Plus_1200;Get me any priest;;Holt mir irgendeinen Priester;;;x
EVTOPTD_Plus_1200;Someone will do it in my name;;Jemand wird es in meinem Namen tun;;;x
EVTDESC_Plus_1201;My [Root.GetLordLady],\nI am pleased to invite you to my forthcoming coronation at [From.Capital.GetName]. There I will be officially crowned as [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName] in the sight of [From.Religion.GetRandomGodNameCap], and your presence would be most welcome.\n\nWith respect,\n[From.GetTitledName];;Meine [Root.GetLordLady], ich freue mich, Euch zu meiner bevorstehenden Krönung in [From.Capital.GetName] einzuladen. Dort werde ich vor den Augen von [From.Religion.GetRandomGodNameCap] offiziell als [From.PrimaryTitle.GetRulerTitle] von [From.PrimaryTitle.GetName] gekrönt werden, und Eure Anwesenheit wäre höchst willkommen.\n\nMit Respekt,\n[From.GetTitledName];;;x
EVTOPTA_Plus_1201;I will gladly attend;;Ich werde gerne teilnehmen.;;;x
EVTOPTB_Plus_1201;I have other things to do;;Ich habe andere Dinge zu tun;;;x
EVTOPTC_Plus_1201;Send an envoy in my stead;;Schickt einen Abgesandten an meiner Stelle;;;x
EVTOPTD_Plus_1201;Alas, the war detains me;;Ach, der Krieg hält mich auf;;;x
EVTOPTE_Plus_1201;Alas, I am far too busy at present;;Leider bin ich zur Zeit viel zu beschäftigt;;;x
EVTDESC_Plus_1202;My [Root.GetLordLady],\nI am very pleased to accept your invitation, and will be journeying to [Root.Capital.GetName] shortly to personally attend your coronation.\n\nWith respect,\n[From.GetTitledName];;Meine [Root.GetLordLady],\nIch bin sehr erfreut, Eure Einladung anzunehmen, und werde in Kürze nach [Root.Capital.GetName] reisen, um Eurer Krönung persönlich beizuwohnen.\n\nMit Respekt,\n[From.GetTitledName];;;x
EVTDESC_Plus_1203;[Root.PrimaryTitle.GetFOA],\nWhile I appreciate your invitation, I am afraid I must decline. I trust my presence at the coronation will not be overly missed.\n\nYours,\n[From.GetTitledName];;[Root.PrimaryTitle.GetFOA],\nWährend ich Ihre Einladung zu schätzen weiß, muss ich leider ablehnen. Ich vertraue darauf, dass meine Anwesenheit bei der Krönung nicht übermäßig vermisst wird.\n\n[From.GetTitledName],\n[From.GetTitledName];;;x
EVTDESC_Plus_1204;My [Root.GetLordLady],\nI fear I will not be able to personally attend your coronation. An envoy will be sent to [Root.Capital.GetName] in my stead, to stand as a representative of the [From.PrimaryTitle.GetFullName].\n\nWith respect,\n[From.GetTitledName];;Meine [Root.GetLordLady],\nIch fürchte, ich werde nicht in der Lage sein, persönlich an Eurer Krönung teilzunehmen. An meiner Stelle wird ein Abgesandter nach [Root.Capital.GetName] geschickt, der als Vertreter des [From.PrimaryTitle.GetFullName] auftreten wird.\n\nMit Respekt, \n[From.GetTitledName];;;x
EVTDESC_Plus_1205;[Root.PrimaryTitle.GetFOA],\nWhile I would like nothing better than to attend your coronation, I fear the war in [From.PrimaryTitle.GetName] demands my full attention and thus I will be unable to get away. I wish you well on this auspicious occasion.\n\nSigned,\n[From.GetTitledName];;Obwohl ich nichts lieber täte, als Ihrer Krönung beizuwohnen, fürchte ich, dass der Krieg in [From.PrimaryTitle.GetName] meine volle Aufmerksamkeit erfordert und ich daher nicht wegkommen kann. Ich wünsche Euch alles Gute zu diesem verheißungsvollen Anlass.\n\nGezeichnet,\n[From.GetTitledName];;;x
