#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
c_abauj_adj_german;Neuburger;;;;;x
c_albania_adj_armenian;Aghvankian;;;;;x
c_bezhetsky_verh_adj_finno_ugric;Nevajärvian;;;;;x
c_caithness_adj_north_germanic;Katanesan;;;;;x
c_chelminskie_adj_german;Kulmerlander;;;;;x
c_chester_adj_welsh;Legionan;;;;;x
c_cornouaille_adj_breton;Kernevan;;;;;x
c_cornwall_adj_breton;Veurian;;;;;x
c_cornwall_adj_cornish;Kernowan;;;;;x
c_cornwall_adj_welsh;Cernywan;;;;;x
c_cumberland_adj_gaelic;Cumbrian;;;;;x
c_cumberland_adj_saxon;Cumbrian;;;;;x
c_derbent_adj_alan;Humrajan;;;;;x
c_derby_adj_north_germanic;Djurabyan;;;;;x
c_devon_adj_breton;Devnantian;;;;;x
c_devon_adj_welsh;Dyfnaintian;;;;;x
c_dyrrachion_adj_italian_group;Durazzan;;;;;x
c_dyrrachion_adj_sicilian;Durazzan;;;;;x
c_esztergom_adj_german;Granian;;;;;x
c_feher_adj_german;Karlsburger;;;;;x
c_fejer_adj_german;Weißenburger;;;;;x
c_galindia_adj_german;Masurian;;;;;x
c_galindia_adj_polish;Masurian;;;;;x
c_gnieznienskie_adj_german;Gnesener;;;;;x
c_guines_adj_dutch;Giezener;;;;;x
c_gwent_adj_english;Monmouthian;;;;;x
c_gwent_adj_norman;Monmouthian;;;;;x
c_gwent_adj_saxon;Monmouthian;;;;;x
c_gwynedd_adj_english;Caernarvonian;;;;;x
c_gwynedd_adj_norman;Caernarvonian;;;;;x
c_gwynedd_adj_saxon;Caernarvonian;;;;;x
c_hum_adj_greek;Arsan;;;;;x
c_ikonion_adj_turkish;Konyan;;;;;x
c_jacwiez_adj_german;Sudauer;;;;;x
c_jacwiez_adj_lithuanian;Suduvan;;;;;x
c_karvuna_adj_greek;Krounoian;;;;;x
c_krakowskie_adj_german;Krakauer;;;;;x
c_kyrikon_adj_greek;Kyrikonan;;;;;x
c_litomerice_adj_german;Leitmeritzer;;;;;x
c_maelienydd_adj_english;Radnoran;;;;;x
c_maelienydd_adj_norman;Radnoran;;;;;x
c_maelienydd_adj_saxon;Radnoran;;;;;x
c_marienburg_adj_baltic;Malborkan;;;;;x
c_marienburg_adj_east_slavic;Malborkan;;;;;x
c_marienburg_adj_west_slavic;Malborkan;;;;;x
c_meirionnydd_adj_english;Merionethan;;;;;x
c_meirionydd_adj_english;Merionethan;;;;;x
c_meirionydd_adj_norman;Merionethan;;;;;x
c_meirionydd_adj_saxon;Merionethan;;;;;x
c_naissus_south_slavic;Nishan;;;;;x
c_nantes_adj_breton;Naonedan;;;;;x
c_nikaea_adj_turkish;Iznikan;;;;;x
c_novgorod_adj_north_germanic;Holmgårder;;;;;x
c_ochrid_adj_greek;Lycnidan;;;;;x
c_ormond_adj_north_germanic;Vedrafjordian;;;;;x
c_pecs_adj_german;Fünfkircher;;;;;x
c_penthievre_adj_breton;Malouan;;;;;x
c_perfeddwlad_adj_english;Denbighan;;;;;x
c_perfeddwlad_adj_norman;Denbighan;;;;;x
c_perfeddwlad_adj_saxon;Denbighan;;;;;x
c_powys_adj_english;Powysian;;;;;x
c_powys_adj_norman;Powysian;;;;;x
c_powys_adj_saxon;Powysian;;;;;x
c_poznanskie_adj_german;Posener;;;;;x
c_pressburg_adj_bohemian;Bratislavan;;;;;x
c_pskov_adj_german;Pleskauer;;;;;x
c_ragusa_adj_bulgarian;Dubrovnikan;;;;;x
c_ragusa_adj_croatian;Dubrovnikan;;;;;x
c_ragusa_adj_serbian;Dubrovnikan;;;;;x
c_rennes_adj_breton;Roazhonan;;;;;x
c_scalovia_adj_german;Schalauer;;;;;x
c_senj_adj_greek;Attienitiesan;;;;;x
c_serdica_adj_bulgarian;Sofian;;;;;x
c_serdica_adj_croatian;Sofian;;;;;x
c_serdica_adj_polish;Sofian;;;;;x
c_serdica_adj_russian;Sofian;;;;;x
c_serdica_adj_serbian;Sofian;;;;;x
c_sopron_adj_german;Ödenburger;;;;;x
c_sozopolis_adj_turkish;Ispartan;;;;;x
c_stbrieg_adj_breton;Briegan;;;;;x
c_szekelyfold_adj_german;Szeklerlander;;;;;x
c_szekezfehervar_adj_german;Stuhlweißenburger;;;;;x
c_teluch_adj_armenian;Tavpluran;;;;;x
c_teluch_adj_greek;Dolichean;;;;;x
c_treger_adj_breton;Tregeran;;;;;x
c_tyana_adj_turkish;Aksarayan;;;;;x
c_tyrnovo_adj_greek;Moesian;;;;;x
c_vas_adj_german;Eisenburger;;;;;x
c_vidin_adj_greek;Bononian;;;;;x
c_vodi_adj_german;Ingrian;;;;;x
c_vodi_adj_north_germanic;Ingrian;;;;;x
c_west_dvina_adj_finno_ugric;Dvinan;;;;;x
c_west_dvina_adj_german;Dvinan;;;;;x
c_west_dvina_adj_north_germanic;Dvinan;;;;;x
c_west_dvina_adj_russian;Dvinan;;;;;x
c_yatvyagi_adj_german;Alitter;;;;;x
c_yatvyagi_adj_west_slavic;Olitan;;;;;x
c_york_adj_north_germanic;Jorviker;;;;;x
c_ystradtywi_adj_english;Carmarthenian;;;;;x
c_ystradtywi_adj_norman;Carmarthenian;;;;;x
c_ystradtywi_adj_saxon;Carmarthenian;;;;;x
d_albany_adj_english;Fifish;;;;;x
d_azerbaijan_adj_armenian;Shirvanian;;;;;x
d_azerbaijan_adj_georgian;Shirvanian;;;;;x
d_cornwall_adj_breton;Veurian;;;;;x
d_cornwall_adj_cornish;Kernowan;;;;;x
d_cornwall_adj_welsh;Cernywan;;;;;x
d_deheubarth_adj_english;South Welsh;;;;;x
d_derbent_adj_armenian;Aghvankian;;;;;x
