#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC_Plus_3651;You have decided to enact an edict that will enforce a common German culture among your vassals.\nAs the first step you have given orders to begin educating the various people of your own capital as well as your immediate family to set a good example.;;;;;;;;;;;;;x
EVTOPTA_Plus_3651;Over time they will agree;;;;;;;;;;;;;x
EVTDESC_Plus_3652;You have decided to attempt to enforce your edict.\nYou will only be given one chance in your lifetime to do this. Making sure your vassals will agree with this beforehand is paramount to success.;;;;;;;;;;;;;x
EVTOPTA_Plus_3652;My will be so;;;;;;;;;;;;;x
EVTOPTB_Plus_3652;Perhaps not yet;;;;;;;;;;;;;x
EVTNAME_Plus_3653;Edict of Cultural Unification;;;;;;;;;;;;;x
EVTDESCB_Plus_3653;Important news has arrived from [From.GetTitledFirstName]!\n[From.GetSheHe] has decreed that the 'Edict of Cultural Unification' has been enacted. The contents of this edict has called for a common German tongue to stabilize the realm.\nOver time [From.GetSheHe] will be addressing [From.GetHerHis] vassals directly to enforce this.;;;;;;;;;;;;;x
EVTDESCA_Plus_3653;Interesting news has arrived from [From.PrimaryTitle.GetName]\n[From.GetTitledFirstName] has decreed that the\n'Edict of Cultural Unification' has been enacted. The contents of this edict has called for a common German tongue to stabilize [From.GetHerHis] realm.;;;;;;;;;;;;;x
EVTDESC_Plus_3654;Dear [Root.GetTitledFirstName],\nI hereby formally demand your adherence to the 'Edict of Cultural Unification'\nKnow that refusal to follow this edict will be met with swift justice.\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA_Plus_3654;I fully accept;;;;;;;;;;;;;x
EVTOPTB_Plus_3654;I reluctantly accept;;;;;;;;;;;;;x
EVTOPTC_Plus_3654;I accept to adhere for a favor;;;;;;;;;;;;;x
EVTOPTD_Plus_3654;I refuse;;;;;;;;;;;;;x
EVTDESC_Plus_3655;Dear [Root.GetTitledFirstName],\nI gladly follow your wise judgement.\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA_Plus_3655;Excellent;;;;;;;;;;;;;x
EVTDESC_Plus_3656;Dear [Root.GetTitledFirstName],\nI will follow your command obediently\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA_Plus_3656;Good;;;;;;;;;;;;;x
EVTDESC_Plus_3657;Dear [Root.GetTitledFirstName],\nI would be glad to follow your command if you offered me something in return.\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA_Plus_3657;Fair Enough;;;;;;;;;;;;;x
EVTOPTB_Plus_3657;Not even for a favor;;;;;;;;;;;;;x
EVTDESC_Plus_3658;Dear [Root.GetTitledFirstName],\nI have considered your offer and accept them as fair.\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESC_Plus_3659;Dear [Root.GetTitledFirstName],\nYou do not understand the position of your station and I refuse your offer. If you will not adhere to the edict I will take this as a sign of treason.\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA_Plus_3659;Problematic...;;;;;;;;;;;;;x
EVTDESC_Plus_3660;You have decided to enact an edict that will enforce a common Italian culture among your vassals.\nAs the first step you have given orders to begin educating the various people of your own capital as well as your immediate family to set a good example.;;;;;;;;;;;;;x
EVTDESCA_Plus_3660;Interesting news has arrived from [From.PrimaryTitle.GetName].\n[From.GetTitledFirstName] has decreed that the\n'Edict of Cultural Unification' has been enacted. The contents of this edict has called for a common Italian tongue to stabilize [From.GetHerHis] realm.;;;;;;;;;;;;;x
EVTDESCB_Plus_3660;Important news has arrived from [From.GetTitledFirstName]!\n[From.GetSheHe] has decreed that the 'Edict of Cultural Unification' has been enacted. The contents of this edict has called for a common Italian tongue to stabilize the realm.\nOver time [From.GetSheHe] will be addressing [From.GetHerHis] vassals directly to enforce this.;;;;;;;;;;;;;x
