#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bolghar;Bolghar;Bolghare;Bolgharisch;;Bólgharo;;;;;;;;;x

coptic_group;Coptic;Copte;Koptisch;;Copto;;;;;;;;;x
coptic;Sahidic;Sahidique;Sahidischen;;Sahídico;;;;;;;;;x

crusader_group;Crusader;Croisé;Kreuzritter;;Cruzado;;;;;;;;;x
outremer;Outremer;Outremer;Outremer;;Outremer;;;;;;;;;x

dnepr_slav;Dnepr Slav;Slave du Dniepr;Dnjepr Slawe;;Eslavo del Dniéper;;;;;;;;;x
dnestr_slav;Dnestr Slav;Slave du Dniestr;Dnister Slawe;;Eslavo del Dniéster;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;Islandés;;;;;;;;;x

iranian;Iranian;Iranien;Iranisch;;Iraní;;;;;;;;;x
khazar;Khazar;Khazare;Chasarisch;;Hazaroj;;;;;;;;;x
bohemian;Czech;Tchèque;Tschechisch;;Checo;;;;;;;;;x
pommeranian;Wend;Wende;Wendisch;;Wendo;;;;;;;;;x

somali;Somali;Somalien;Somalisch;;Somalí;;;;;;;;;x
sosso;Susu;Soussou;Susu;;Sosso;;;;;;;;;x

ugricbaltic;Estonian;Estonien;Estländisch;;Estonio;;;;;;;;;x
volga_slav;Volga Slav;Slave du Volga;Wolga Slawe;;Eslavo del Volga;;;;;;;;;x
arberian;Albanian;Albaniais;Albanisch;;Albanés;;;;;;;;;x

assyrian;Assyrian;Assyrien;Assyrer;;Asirio;;;;;;;;;x
aramaic;Aramaic;Araméen;Aramaïsch;;Aramea;;;;;;;;;x


vasconic;Vasconic;Vasconique;Vasconisch;;Vasca;;;;;;;;;x
tocharian_group;Tocharian;Tokharien;Tocharer;;Tocario;;;;;;;;;x

agnean;Agnean;Agnéen;Agnideser;;Turfanio;;;;;;;;;x

east_germanic;East Germanic;Est Germanique;Ostgermanischen;;Este Germánico;;;;;;;;;x
burgundian;Burgundian;Burgonde;Burgunder;;Burgundio;;;;;;;;;x
gepidae;Gepid;Gépide;Gepider;;Gépido;;;;;;;;;x
ostrogothic;Ostrogothic;Ostrogothic;Ostrogothic;;Ostrogodo;;;;;;;;;x
old_gothic;Gothic;Gotique;Gotisch;;Gótico;;;;;;;;;x
vandalic;Vandal;Vandale;Vandaler;;Vandálico;;;;;;;;;x

franco_germanic;Weser-Rhine Germanic;Rhin Germánica;Fränkischdeutsch;;Renania Germánica;;;;;;;;;x
imperial_german;High German;Haute Allemand;Reichdeutsch;;Alto Alemán;;;;;;;;;x
swabian;Swabian;Souabe;Schwäbisch;;Suabo;;;;;;;;;x
swiss;Swiss;Suisse;Schweizer;;Suizo;;;;;;;;;x
bavarian;Bavarian;Bavarois;Bavarian;;Bávaro;;;;;;;;;x
austrian;Austrian;Autrichienne;Österreicher;;Austríaco;;;;;;;;;x
colognian;Rhenish;Rhénane;Rheinisch;;Renano;;;;;;;;;x
thuringian;Thuringian;Thuringe;Thüringisch;;Turingio;;;;;;;;;x
franconian;Franconian;Francique;Fränkisch;;Franconica;;;;;;;;;x
scots;Scots;Scots;Scots;;Escocés;;;;;;;;;x
teutonic;Low Prussian;Bas-Prussien;Niederpreußisch;;Bajo Prusiano;;;;;;;;;x
german;Alemannic;Alamans;Althochdeutsch;;Alamana;;;;;;;;;x

central_germanic;Elbe Germanic;Elbe Germanique;Elbegermanisch;;Elba Germánica;;;;;;;;;x

west_germanic;Mare Germanic;Mer-Germanique;Meergermanisch;;Oeste Germánica;;;;;;;;;x
flemish;Flemish;Flandre;Flämisch;;Flamenco;;;;;;;;;x
