#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
Plus.3401.desc;You may use this decision to send a custom amount of wealth to [From.GetTitledFirstName].\nPlease choose the wealth range that fits your needs\nNote that you will not receive any opinion modifiers from this specific action;;Sie können diese Entscheidung nutzen, um eine benutzerdefinierte Menge an Vermögen an [From.GetTitledFirstName] zu senden.\nBitte wählen Sie den Vermögensbereich, der Ihren Bedürfnissen entspricht\nBeachten Sie, dass Sie durch diese spezielle Aktion keine Meinungsmodifikatoren erhalten werden;;;x
Plus.3401.opt.a;Less than 100 wealth;;Weniger als 100 Vermögen;;;x
Plus.3401.opt.b;From 100 to 300 wealth;;Von 100 bis 300 Vermögen;;;x
Plus.3401.opt.c;500 wealth and higher;;500 Vermögen und mehr;;;x
Plus.3403.desc;Exactly how much wealth would you like to send to [From.GetTitledFirstName]?;;Wie viel Vermögen möchten Sie genau an [From.GetTitledFirstName] schicken?;;;x
Plus.3403.opt.a;10 wealth;;10 Vermögen;;;x
Plus.3403.opt.b;25 wealth;;25 Vermögen;;;x
Plus.3403.opt.c;50 wealth;;50 Vermögen;;;x
Plus.3403.opt.d;100 wealth;;100 Vermögen;;;x
Plus.3403.opt.e;200 wealth;;200 Vermögen;;;x
Plus.3403.opt.f;300 wealth;;300 Vermögen;;;x
Plus.3403.opt.g;500 wealth;;500 Vermögen;;;x
Plus.3403.opt.h;750 wealth;;750 Vermögen;;;x
Plus.3403.opt.i;1000 wealth;;1000 Vermögen;;;x
Plus.3404.desc.gave_10;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n10 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n10 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_25;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n25 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n25 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_50;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n50 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n50 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_100;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n100 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n100 Vermögen\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_200;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n200 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n200 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_300;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n300 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n300 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_500;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n500 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n500 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_750;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n750 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n750 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
Plus.3404.desc.gave_1000;Dear [Root.GetTitledFirstName],\nPlease find enclosed\n1000 wealth.\nSigned,\n[From.GetTitledFirstName];;Sehr geehrter [Root.GetTitledFirstName],\nBitte finden Sie beigefügt\n1000 Vermögen.\ngezeichnet,\n[From.GetTitledFirstName];;;x
