#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
abandon_adventure;Abandon Adventure;;Abenteuer aufgeben;;;x
abandon_adventure_desc;Abandon Adventure;;Abenteuer aufgeben;;;x
abdicate_rule;Abdicate;;Abdanken;;;x
abdicate_rule_desc;You elect to voluntarily step down from rule and surrender all your titles to your heir. Once abdicated, you will be unable to inherit any further titles.;;Sie treten freiwillig von der Herrschaft zurück und geben alle Ihre Titel an Ihren Erben ab. Sobald Sie abgedankt haben, können Sie keine weiteren Titel mehr erben.;;;x
abolish_witan_hardrada;Declare yourself the sole King of England;Vous déclarer seul Roi d'Angleterre;Erkläre dich zum alleinigen König von England;;;x
abolish_witan_hardrada_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;Maintenant que vous controslez entièrement les terres anglaises, vous pouvez abolir le Witan et mettre fin à l'hégémonie anglo_saxonne sur Anglia une fois pour toutes !;Da Sie die Kontrolle über die englischen Ländereien haben, können Sie die Witan abschaffen und die angelsächsische Hegemonie über Anglien ein für alle Mal beenden!;;;x
abolish_witan_william;Declare yourself the sole King of England;Vous décarer seul Roi d'Angleterre;Erkläre dich zum alleinigen König von England;;;x
abolish_witan_william_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;Maintenant que vous controslez entièrement les terres anglaises, vous pouvez abolir le Witan et mettre fin à l'hégémonie anglo_saxonne sur Anglia une fois pour toutes !;Wenn du die volle Kontrolle über die englischen Ländereien hast, kannst du die Witan abschaffen und die angelsächsische Hegemonie über Anglien ein für alle Mal beenden!;;;x
accuse_as_kafir;Accuse Kafir;;Anklage gegen Kafir;;;x
accuse_as_kafir_desc;Accuse your liege, §Y[Root.GetBestName]§!, of being kafir, and thus a decadent [Root.GetManWoman] in violation of Allah's laws.;;Beschuldige deinen Lehnsherrn, §Y[Root.GetBestName]§!, Kafir zu sein und damit eine dekadente [Root.GetManWoman], die gegen Allahs Gesetze verstößt.;;;x
adopt_feudalism_pagan;Adopt Feudalism;Adopter le féodalisme;Führe den Feudalismus ein;;Adoptar de ser Feudal;x
adopt_republicanism_pagan;Found Merchant Republic;Fonder une république marchande;Kaufmännische Republik gründen;;Fundar una República Mercante;x
adopt_feudalism_pagan_desc;I can choose to leave behind my tribal way of life and become a Feudal ruler.;Je peux choisir d'abandonner nos mœurs tribales et de devenir un souverain féodal.;Ich kann mich dafür entscheiden, mein Stammesleben hinter mir zu lassen und ein Feudalherrscher zu werden.;;Puedo escoger abandonar mi estilo de vida tribal y convertirme en un gobernante Feudal.;x
adopt_republicanism_pagan_desc;I can choose to leave behind my tribal way of life and found a Merchant Republic.;Je peux choisir d'abandonner nos mœurs tribales et de fonder une république marchande.;Ich kann mich entscheiden, mein Stammesleben hinter mir zu lassen und eine Handelsrepublik zu gründen.;;Puedo escoger abandonar mi estilo de vida tribal y fundar una República Mercante.;x
adventurer_warn_target;Warn Target;;Ziel warnen;;;x
adventurer_warn_target_desc;Warn Target;;Ziel warnen;;;x
ai_austerity;Austerity;;Strenge;;;x
ai_austerity_baron;Austerity;;Strenge;;;x
ai_austerity_end;End Austerity;;Ende der Austerität;;;x
ai_austerity_desc;Austerity;;Austerität;;;x
ai_austerity_baron_desc;Austerity;;Austerität;;;x
ai_austerity_end_desc;End Austerity;;Ende der Austerität;;;x
ai_become_monk;Become Monk;;Mönch werden;;;x
ai_become_monk_desc;Become Monk;;Mönch werden;;;x
ai_destroy_custom_title;Destroy Custom Title;;Benutzerdefinierten Titel zerstören;;;x
ai_destroy_custom_title_desc;Destroy Custom Title;;Gewohnheitstitel zerstören;;;x
ai_estates_income;Estates Income;;Stände Einkommen;;;x
ai_faction_maintenance;Faction Maintenance;;Faction-Unterhalt;;;x
ai_divorce;AI Divorce;;KI-Scheidung;;;x
