#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTULTIMATUMNO;I will not be blackmailed;;Ich lasse mich nicht erpressen;;;;;;;;;;;x
EVTULTIMATUMREJECTED;Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. I'd rather die defending what is rightfully mine!\n\nSigned,\n[From.GetTitledName];;Ihr schändlicher Erpressungsversuch ist nicht gelungen. Egal, wie viele verdorbene Seelen Ihr verführt habt, um Euren Plan auszuführen, ich werde nicht kampflos aufgeben. Lieber sterbe ich bei der Verteidigung dessen, was mir rechtmäßig zusteht!\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTULTIMATUMREJECTEDOPTA;Then it is war!;;Dann ist es Krieg!;;;;;;;;;;;x
EVTULTIMATUMYES;I guess I have no choice...;;Ich schätze, ich habe keine Wahl...;;;;;;;;;;;x
NEVERMIND;On second thought...;;Wenn ich es mir recht überlege...;;;;;;;;;;;x
SHEDATEAR;Shed a tear for gallant Sir [From.GetFirstName].;;Vergießt eine Träne für den galanten Sir [From.GetFirstName].;;;;;;;;;;;x
DONT_PESTER_ME;Don't bother me with dealings of lesser lords!;;Belästigt mich nicht mit Geschäften von niederen Lords!;;;;;;;;;;;x
I_WILL_CONVERT;Then I will convert immediately!;;Dann werde ich sofort konvertieren!;;;;;;;;;;;x
NEXT;Next;;Nächstes;;;;;;;;;;;x
YOM_KIPPUR_TITLE;Yom Kippur;;Jom Kippur;;;;;;;;;;;x
CURSES;Curses;;Verflucht;;;;;;;;;;;x
EVTNOCOUNCILREQUESTS;Do not bring such petitions before me ever again!;;Bringe nie wieder solche Bitten vor mich!;;;;;;;;;;;x
EVTOPTA_upg;Let it be so.;;So soll es sein.;;;;;;;;;;;x

EVTDESC_Plus_304;The change in crown authority has forced me to change some of my demesne laws.;;Der Wechsel in der Kronautorität hat mich gezwungen, einige meiner Gesetze zu ändern.;;;;;;;;;;;x
EVTDESC_Plus_310;My changes to the crown authority of the Empire have now been fully implemented across the realm.;;Meine Änderungen an der Kronautorität des Reiches sind nun im gesamten Reich umgesetzt worden.;;;;;;;;;;;x
