#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_FemRule_100;My Daughter is my Heir;;Meine Tochter ist mein Erbe;;;;;;;;;;;x
EVTDESC_FemRule_100;Since I still don't have a male heir, I may need to consider the possibility of my realm passing to my daughter. Rulership is harder for a woman, but not impossible. If I were to start raising her as my heir now, she would be better prepared should she succeed me to the throne...;;Da ich immer noch keinen männlichen Erben habe, muss ich vielleicht die Möglichkeit in Betracht ziehen, dass mein Reich auf meine Tochter übergeht. Für eine Frau ist es schwieriger, die Herrschaft zu erlangen, aber nicht unmöglich. Wenn ich jetzt damit beginnen würde, sie als meine Erbin zu erziehen, wäre sie besser vorbereitet, sollte sie mir auf den Thron folgen...;;;;;;;;;;;x
EVTOPTA_FemRule_100;I will raise a ruler to be proud of!;;Ich werde eine Herrscherin großziehen, auf die ich stolz sein kann!;;;;;;;;;;;x
EVTOPTB_FemRule_100;I might still have a son.;;Ich könnte immer noch einen Sohn haben.;;;;;;;;;;;x
EVTOPTC_FemRule_100;This will never happen. Stop asking me about it.;;Das wird nie geschehen. Hört auf, mich danach zu fragen.;;;;;;;;;;;x
EVTDESC_FemRule_101;I am told my [From.GetFatherMother] does not wish me to be [From.GetHerHis] heir, and will put me aside as soon as [From.GetSheHe] has a son. It doesn't seem fair!;;Mir wurde gesagt, dass meine [From.GetFatherMother] nicht will, dass ich [From.GetHerHis] Erbe werde, und mich beiseite schieben wird, sobald [From.GetSheHe] einen Sohn hat. Das scheint nicht fair zu sein!;;;;;;;;;;;x
EVTOPTA_FemRule_101;I must earn my right to rule.;;Ich muss mir mein Recht zu regieren verdienen.;;;;;;;;;;;x
EVTOPTB_FemRule_101;But I deserve to rule!;;Aber ich verdiene es zu herrschen!;;;;;;;;;;;x
EVTOPTC_FemRule_101;I must bow to [From.GetHerHis] wishes.;;Ich muss mich [From.GetHerHis] Wünschen beugen.;;;;;;;;;;;x
EVTDESC_FemRule_105;My daughter is no longer under my tutelage to become the next ruler. What now?;;Meine Tochter ist nicht mehr unter meiner Vormundschaft, um die nächste Herrscherin zu werden. Was nun?;;;;;;;;;;;x
EVTOPTA_FemRule_105;I have a son now. That's all that matters.;;Ich habe jetzt einen Sohn. Das ist alles, was zählt.;;;;;;;;;;;x
