#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

bogomilist_government;Bogomilist;;Bogomilisten;;;;;;;;;;;x
bogomilist_government_desc;This is a form of government which is essentially feudal, and thus reliant upon the oaths between liege and vassal, but also melded with the precepts of the Bogomilist faith.;;Dies ist eine im Wesentlichen feudale Regierungsform, die sich auf die Eide zwischen Lehnsherrn und Vasallen stützt, aber auch mit den Grundsätzen des bogomilistischen Glaubens verschmolzen ist.;;;;;;;;;;;x
imperial_government;Imperial Bureaucracy;;Kaiserliche Bürokratie;;;;;;;;;;;x
imperial_government_desc;This type of government represents a complex bureaucracy of magistrates and functionaries acting in the ruler's name. It allows for a power structure that hands less power to landed vassals, but also can be susceptible to a greater degree of court intrigue and government corruption than a standard feudal system.;;Diese Art der Regierung stellt eine komplexe Bürokratie von Magistraten und Funktionären dar, die im Namen des Herrschers handeln. Sie ermöglicht eine Machtstruktur, die weniger Macht an landbesitzende Vasallen abgibt, aber auch anfälliger für ein höheres Maß an Hofintrigen und Regierungskorruption ist als ein normales Feudalsystem.;;;;;;;;;;;x
imperial_bogomilist_government;Teokratsiya;;Teokratsiya;;;;;;;;;;;x
imperial_bogomilist_government_desc;This type of government represents a complex bureaucracy of magistrates and functionaries acting in the ruler's name. It allows for a power structure that hands less power to landed vassals, but also can be susceptible to a greater degree of court intrigue and government corruption than the standard feudal system. In this case, the government is also melded with the precepts of the Bogomilist faith.;;Diese Art der Regierung besteht aus einer komplexen Bürokratie von Magistraten und Funktionären, die im Namen des Herrschers handeln. Sie ermöglicht eine Machtstruktur, die weniger Macht an landbesitzende Vasallen abgibt, aber auch anfälliger für Intrigen am Hof und Korruption in der Regierung sein kann als das normale Feudalsystem. In diesem Fall ist die Regierung auch mit den Geboten des bogomilistischen Glaubens verschmolzen.;;;;;;;;;;;x
muslim_imperial_government;al-Mulk;;al-Mulk;;;;;;;;;;;x
muslim_imperial_government_desc;This type of government represents a complex bureaucracy of magistrates and functionaries acting in the ruler's name. It allows for a power structure that hands less power to landed vassals, but also can be susceptible to a greater degree of court intrigue and government corruption than the standard Iqta system.;;Diese Regierungsform stellt eine komplexe Bürokratie von Magistraten und Funktionären dar, die im Namen des Herrschers handeln. Sie ermöglicht eine Machtstruktur, die weniger Macht an landbesitzende Vasallen abgibt, kann aber auch anfälliger für ein höheres Maß an Hofintrigen und Regierungskorruption sein als das Standard-Iqta-System.;;;;;;;;;;;x
western_theocratic_feudal_government;Hereditary Theocracy;;Vererbbare Theokratie;;;;;;;;;;;x
western_theocratic_feudal_government_desc;This type of government represents a blending of church and state. It functions much like a standard Feudal system, but brings the temples and churches under the ruler's jurisdiction as head of religion;;Diese Regierungsform stellt eine Verschmelzung von Kirche und Staat dar. Sie funktioniert ähnlich wie ein normales Feudalsystem, unterstellt aber die Tempel und Kirchen der Gerichtsbarkeit des Herrschers als Religionsoberhaupt.;;;;;;;;;;;x
western_theocratic_imperial_government;Hereditary Imperial Theocracy;;Vererbbare kaiserliche Theokratie;;;;;;;;;;;x
western_theocratic_imperial_government_desc;This type of government represents a complex bureaucracy of magistrates and functionaries acting in the ruler's name. It allows for a power structure that hands less power to landed vassals, but also can be susceptible to a greater degree of court intrigue and government corruption than a standard feudal system. In this case, the ruler is also the head of religion and holds power over the churches and temples as well.;;Diese Regierungsform stellt eine komplexe Bürokratie von Magistraten und Funktionären dar, die im Namen des Herrschers handeln. Sie ermöglicht eine Machtstruktur, die weniger Macht an landbesitzende Vasallen abgibt, aber auch anfälliger für ein höheres Maß an Hofintrigen und Regierungskorruption ist als ein normales Feudalsystem. In diesem Fall ist der Herrscher auch das Oberhaupt der Religion und hat auch die Macht über die Kirchen und Tempel.;;;;;;;;;;;x
