#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CHRISTIAN;;;;;;;;;;;;;;;
follows_correct_religion;Follows the correct religion;;Folgt der richtigen Religion;;;
##CHALCEDONIAN;;;;;;;;;;;;;;;
tp_holy_site_church_st_peter;The Church of Saint Peter;;Die Kirche des Heiligen Petrus;;;
tp_holy_site_church_st_peter_desc;The church founded in Antioch by the apostle Peter. One of the oldest churches in Christendom.;;Die vom Apostel Petrus in Antiochia gegründete Kirche. Eine der ältesten Kirchen der Christenheit.;;;
tp_holy_site_hagia_sophia;Hagia Sophia;;Hagia Sophia;;;
tp_holy_site_hagia_sophia_desc;Traditional seat of the Patriarch of Constantinople, commissioned in 532 CE by the Roman Emperor Justinian I and originally finished in 537 CE.;;Traditioneller Sitz des Patriarchen von Konstantinopel, 532 n. Chr. vom römischen Kaiser Justinian I. in Auftrag gegeben und 537 n. Chr. fertiggestellt.;;;
tp_holy_site_holy_sepulchre;Church of the Holy Sepulchre;;Kirche des Heiligen Grabes;;;
tp_holy_site_holy_sepulchre_desc;The church containing two of the holiest sites in Christianity, the site of the Crucifixion and the site of the Resurrection.;;Die Kirche, in der sich zwei der heiligsten Stätten des Christentums befinden: die Kreuzigungs- und die Auferstehungsstätte.;;;
tp_holy_site_school_alexandria;Catechetical School of Alexandria;;Katechetische Schule von Alexandria;;;
tp_holy_site_school_alexandria_desc;An extremely influential school of theologians and priests in Alexandria, originally founded by Mark the Apostle but destroyed in 381 CE after riots following the Council of Constantinople.;;Eine äußerst einflussreiche Schule von Theologen und Priestern in Alexandria, die ursprünglich von Markus dem Apostel gegründet, aber 381 n. Chr. nach Unruhen im Anschluss an das Konzil von Konstantinopel zerstört wurde.;;;
tp_holy_site_st_peters_basilica;Saint Peter's Basilica;;Petersdom (Basilika);;;
tp_holy_site_st_peters_basilica_desc;The traditional seat of the Bishop of Rome, commissioned in 318 CE by the Roman Emperor Constantine and originally finished in 322 CE.;;Der traditionelle Sitz des Bischofs von Rom, 318 n. Chr. vom römischen Kaiser Konstantin in Auftrag gegeben und 322 n. Chr. fertiggestellt.;;;
##CATHOLIC;;;;;;;;;;;;;;;
tp_holy_site_canterbury_cathedral;Canterbury Cathedral;;Kathedrale von Canterbury;;;
tp_holy_site_canterbury_cathedral_desc;One of the oldest Christian churches in England, founded in 597 CE.;;Eine der ältesten christlichen Kirchen in England, gegründet im Jahr 597 n. Chr.;;;
tp_holy_site_koln_cathedral;Cathedral Church of Saint Peter;;Kathedralkirche von St. Peter;;;
tp_holy_site_koln_cathedral_desc;Cathedral church, dedicated to Saint Peter, built on a site occupied by Churches since the 4th Century.;;Dem heiligen Petrus geweihte Kathedralkirche, die an einer Stelle errichtet wurde, an der seit dem 4.;;;
tp_holy_site_santiago_cathedral;Santiago de Compostela Cathedral;;Kathedrale von Santiago de Compostela;;;
tp_holy_site_santiago_cathedral_desc;Grand Cathedral built on the site of the tomb of Saint James the Great.;;Große Kathedrale, die an der Stelle des Grabes des Heiligen Jakobus des Großen errichtet wurde.;;;
###CATHAR;;;;;;;;;;;;;;;
tp_holy_site_basilica_saints_nazarius_celsus;Basilica of Saints Nazarius and Celsus;;Basilika der Heiligen Nazarius und Celsus;;;
tp_holy_site_basilica_saints_nazarius_celsus_desc;;;;;;
###WALDENSIAN;;;;;;;;;;;;;;;
tp_holy_site_temple_poor_lombardy;Temple of the Poor of Lombardy;;Tempel der Armen der Lombardei;;;x
tp_holy_site_temple_poor_lombardy_desc;;;;;;
tp_holy_site_temple_poor_lyon;Temple of the Poor of Lyon;;Tempel der Armen von Lyon;;;x
tp_holy_site_temple_poor_lyon_desc;;;;;;
###LOLLARD;;;;;;;;;;;;;;;
tp_holy_site_leicester_abbey;Abbey of Saint Mary de Pratis;;Abtei der Heiligen Maria von Pratis;;;x
tp_holy_site_leicester_abbey_desc;;;;;;
##ORTHODOX;;;;;;;;;;;;;;;
tp_holy_site_basilica_saint_john;Basilica of Saint John;;Basilika des Heiligen Johannes;;;
tp_holy_site_basilica_saint_john_desc;A Basilica built on the burial site of Saint John the Apostle by Emperor Justinian I. Originally completed in 565 CE.;;Eine Basilika, die Kaiser Justinian I. an der Grabstätte des Apostels Johannes errichten ließ. Sie wurde 565 n. Chr. fertiggestellt.;;;
tp_holy_site_mount_athos;Helandaris Monastery;;Helandaris-Kloster;;;
