#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_1852;§YImperial Decadence§! in the [Root.PrimaryTitle.GetFullName] is now §R[Root.PrimaryTitle.imperial_decadence.GetValue]§!;;§YImperiale Dekadenz§! im [Root.PrimaryTitle.GetFullName] ist jetzt §R[Root.PrimaryTitle.GetFullName]§!;;;x
EVTDESC_Plus_1854;The imperial crown of [FromFrom.GetName] is, by all rights, mine to hold...but I am already the [current_title.GetRulerTitle] of [current_title.GetName]! There can only be one empire -- so which is it to be?;;Die kaiserliche Krone von [FromFrom.GetName] steht mir von Rechts wegen zu...aber ich bin bereits der [current_title.GetRulerTitle] von [current_title.GetName]! Es kann nur ein Reich geben - welches soll es also sein?;;;x
EVTOPTA_Plus_1854;I shall rule the [new_title.GetFullName];;Ich werde das [new_title.GetFullName] regieren;;;x
EVTOPTB_Plus_1854;I shall rule the [current_title.GetFullName];;Ich werde das [current_title.GetFullName] regieren;;;x
EVTOPTC_Plus_1854;I will grant one of the titles to someone else;;Ich werde einen der Titel an jemand anderen vergeben;;;x
EVTDESC_Plus_1855A;Rulers throughout the [Root.PrimaryTitle.GetFullName] are pleased with the rulings [Root.GetTitledFirstNameNoRegnal] has made in [Root.GetHerHis] court as of late. [Root.GetSheHeCap] is just and fair, they say, and this bodes well for the future of [Root.PrimaryTitle.GetName].;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zufrieden mit den Entscheidungen, die [Root.GetTitledFirstNameNoRegnal] in letzter Zeit am Hof von [Root.GetHerHis] getroffen hat. [Root.GetSheHeCap] ist gerecht und fair, sagen sie, und das verheißt Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1855B;Rulers throughout the [Root.PrimaryTitle.GetFullName] are pleased with the rulings [Root.Regent.GetTitledFirstNameNoRegnal] has made as [Root.GetTitledFirstNameNoRegnal]'s regent as of late. [Root.Regent.GetSheHeCap] is just and fair, they say, and this bodes well for the future of [Root.PrimaryTitle.GetName].;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zufrieden mit den Entscheidungen, die [Root.Regent.GetTitledFirstNameNoRegnal] in letzter Zeit als [Root.GetTitledFirstNameNoRegnal]s Regent getroffen hat. [Root.Regent.GetSheHeCap] ist gerecht und fair, sagen sie, und das verheißt Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1856A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by [Root.GetTitledFirstNameNoRegnal]'s arbitrary nature. The decisions [Root.GetSheHe] makes in [Root.GetHerHis] court rely more on whim and pique rather than the rule of law. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über die Willkür von [Root.GetTitledFirstNameNoRegnal]. Die Entscheidungen, die [Root.GetSheHe] am Hof von [Root.GetHerHis] trifft, beruhen eher auf Launen und Launenhaftigkeit als auf rechtsstaatlichen Grundsätzen. Das, so sagen sie, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1856B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by the arbitrary nature of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. The decisions [Root.Regent.GetSheHe] makes in [Root.Regent.GetHerHis] court rely more on whim and pique rather than the rule of law. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über die Willkür des Regenten von [Root.Regent.GetTitledFirstNameNoRegnal], [Root.Regent.GetTitledFirstNameNoRegnal]. Die Entscheidungen, die [Root.Regent.GetSheHe] am Hof von [Root.Regent.GetHerHis] trifft, beruhen eher auf Launen und Launenhaftigkeit als auf rechtsstaatlichen Grundsätzen. Das, so sagen sie, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1857A;Rulers throughout the [Root.PrimaryTitle.GetFullName] are pleased with [Root.GetTitledFirstNameNoRegnal]'s diligence in ruling the empire. [Root.GetSheHeCap] always attends to [Root.GetHerHis] personal council, and stays at court to see supplicants until very late. This, they say, is the only way [Root.PrimaryTitle.GetName] can be properly run.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind mit der Sorgfalt, mit der [Root.GetTitledFirstNameNoRegnal] das Reich regiert, zufrieden. [Root.GetSheHeCap] kümmert sich stets um [Root.GetHerHis] persönlichen Rat und bleibt bis spät am Hof, um Bittsteller zu empfangen. Man sagt, dass dies die einzige Möglichkeit ist, [Root.PrimaryTitle.GetName] richtig zu regieren.;;;x
EVTDESC_Plus_1857B;Rulers throughout the [Root.PrimaryTitle.GetFullName] are pleased with [Root.Regent.GetTitledFirstNameNoRegnal]'s diligence in ruling the empire as [Root.GetTitledFirstNameNoRegnal]'s regent. [Root.Regent.GetSheHeCap] always attends to the [Root.PrimaryTitle.GetRulerTitle]'s council, and stays at court to see supplicants until very late. This, they say, is the only way [Root.PrimaryTitle.GetName] can be properly run.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zufrieden mit dem Eifer, mit dem [Root.Regent.GetTitledFirstNameNoRegnal] das Reich als [Root.GetTitledFirstNameNoRegnal] Regent regiert. [Root.Regent.GetSheHeCap] nimmt immer am Rat des [Root.PrimaryTitle.GetRulerTitle] teil und bleibt bis spät am Hof, um Bittsteller zu empfangen. Nur so, so heißt es, kann [Root.PrimaryTitle.GetName] richtig regiert werden.;;;x
