#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Landed titles
c_faereyar_adj;Faroese;Féroé;Färöer;;Feroés;x
c_lappland_adj;Lapplander;Laponne;Lappländer;;Lapón;x
c_varmland_adj;Värmlander;värmlandaise;Värmlandisch;;Varmlandés;x
c_koln_adj;Kölnian;colonaise;Kölnisch;;Coloniense;x
b_firenze;Firenze;Florence;Florenz;;Florencia;x
b_antiocheia;Antioch;Antiocheia;Antiochien;;Antioquía;x
b_praha;Praha;Prague;Prag;;Praga;x
## Reworded to mention 'province', instead of 'county', because those are not the same thing!
# UI
MESSWINDOW_ACTION_ZOOMTOPROVINCE;Go to the related province;Accéder la province concernée;Zu der entsprechenden Provinz gehen;;Ir a la provincia correspondiente;x
MESSWINDOW_ACTION_SELECTPROVINCE;Select the related province;Sélectionner la province concernée;Wählen Sie die entsprechende Provinz;;Selecciona la provincia correspondiente;x
SUPPLYLIMIT_INSTANT;Maximum unit weight that the province can supply without causing attrition. Actual attrition depends on various other factors as well.;Maximum de troupes que la province peut ravitailler sans attrition. L'attrition réelle dépend aussi d'autres facteurs.;Maximales Einheitengewicht, das die Provinz liefern kann, ohne Zermürbung zu verursachen. Die tatsächliche Zermürbung hängt auch von verschiedenen anderen Faktoren ab.;;Peso máximo de unidades que la provincia puede abastecer sin acusar desgaste. El desgaste real también depende de varios factores más.;x
PROV_MAX_ATTR;Maximum attrition that one of your units can take in this province.;Attrition maximale qu'une de vos unités peut subir dans cette province.;Maximale Zermürbung, die eine Ihrer Einheiten in dieser Provinz erleiden kann.;;Desgaste máximo que una de vuestras unidades puede soportar en esta provincia.;x
REVOLT_RISK_DESC;The revolt risk is the chance of a peasant uprising in the province.;Le risque de révolte correspond la possibilité qu'un soulèvement de paysans se produise dans la province.;Das Revoltenrisiko ist die Chance auf einen Bauernaufstand in der Provinz.;;Riesgo de revuelta es la probabilidad de sublevación de campesino en la provincia.;x
STAT_CULTURE_PROV_DESC;This is the majority culture in this province.;Cette culture est majoritaire dans cette province.;Dies ist die Kultur der Bevölkerung in dieser Provinz.;;Esta es la cultura mayoritaria de esta provincia.;x
STAT_RELIGION_PROV_DESC;This is the majority religion in this province.;Cette religion est majoritaire dans cette province.;Dies ist die Religion der Bevölkerung in dieser Provinz.;;Esta es la religión mayoritaria en este provincia.;x
# These also modified to account for multiple trade routes in one province, because vanilla assumes there's no more than one
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\nThe $ROUTE|Y$ brings trade through this province.\n;\nLa $ROUTE|Y$ apporte du commerce dans cette province.\n;\n$ROUTE|Y$\nDie $ROUTE|Y$ bringt Handel durch diese Provinz.\n;;\nLa $ROUTE|Y$ trae comercio a esta provincia.\n;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nA Major Trade Route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.\n;\nUne route commerciale procure les effets suivants :\n$MODIFIER$\n\nLes comptoirs dans des provinces qu'elle traverse augmentent le modificateur de tous les comtés. Si certaines provinces de la route commerciale sont bloquées (par un siège ou une occupation), les autres provinces de la route commerciale reçoivent temporairement un bonus plus élevé en raison de la redirection des activités commerciales.\n;\nEine Große Handelsstraße hat folgende Auswirkungen:\n$MODIFIER$\n\nHandelsposten, die in den Provinzen dieser Handelsstraße errichtet werden, erhöhen den Modifikator für alle Provinzen. Wenn einige Provinzen blockiert sind (durch Belagerung oder Besetzung), erhalten andere Provinzen vorübergehend einen höheren Bonus, da der Handel umgeleitet wird.;;\nUna ruta comercial da los siguiente efectos:\n$MODIFIER$\n\nLos puestos comerciales construidos en condados de rutas comerciales aumentan el modificador de todas las provincias. Si alguna provincia de la ruta comercial está bloqueada (por asedio u ocupación), el tráfico se redirigirá a otras provincias de la ruta, que recibirán temporalmente una bonificación mayor.;x
# UI scopes
ANY_PROVINCE_STARTS;Any Province;N'importe quelle province;Beliebige Provinz;;Cualquier provincia;x
ANY_PROVINCE_LORD_STARTS;Any Province Lord;N'importe quel seigneur de la province;Beliebige Provinz Lord;;Algún señor de la provincia;x
ANY_PROVINCE_CHAR_STARTS;Any Province Character;N'importe quel personnage de la province;Beliebige Provinz Charakter;;Algún personaje de la provincia;x
# job_actions
action_train_troops_desc;Send your [GetMarshalName] to increase the size of your levies in a province.;Demander votre maréchal d'augmenter la taille de vos troupes dans une province.;Schickt Euren [GetMarshalName], um die Zahl Eurer Abgaben in einer Provinz zu erhöhen.;;Envía a tu mariscal para aumentar el tamaño de tus levas en una provincia.;x
# Decisions
