#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
apokopos;Self-castrations;;Selbstkastrationen;;;x
bible_translated;Bible Translated;;Übersetzte Bibel;;;x
bible_translated_poor;Bible Translated;;Bibel übersetzt;;;x
bible_translated_lollard;Bible Translated;;Bibel übersetzt;;;x
bible_translated_poor_lollard;Bible Translated;;Bibel übersetzt;;;x
bogomil_appears;Bogomil Appears;;Bogomil taucht auf;;;x
bogomilism_formalized;Bogomilism Formalized;;Bogomilismus Formalisiert;;;x
bogomilism_organized;Bogomilism Organized;;Bogomilismus Organisiert;;;x
bogomilism_spreading;Bogomilism Spreading;;Ausbreitung des Bogomilismus;;;x
church_st_bogomil_built;Church of St. Bogomil;;Kirche des Heiligen Bogomil;;;x
converted_province_from;Province Conversions;;Bekehrungen in der Provinz;;;x
converted_province_to;Province Conversions;;Bekehrungen in den Provinzen;;;x
dark_victory;Victories for the Army of Darkness;;Siege für die Armee der Finsternis;;;x
death_of_leader;Archegos Slain;;Archegos erschlagen;;;x
deposed_patriarch_byz;Patriarchs deposed by Byzantine rulers;;Von byzantinischen Herrschern abgesetzte Patriarchen;;;x
fraticelli_reforms;Brother Angelo;;Bruder Angelo;;;x
greek-latin_conflict;Greek-Latin Conflicts;;Griechisch-lateinische Konflikte;;;x
light_victory;Victories for the Army of Light;;Siege für die Armee des Lichts;;;x
luxor_restored;Luxor Restored;;Luxor wiederhergestellt;;;x
m_master;Messalian Masters;;Messalische Meister;;;x
new_saint;Saint Declared;;Zum Heiligen erklärt;;;x
orthodoxy_lives_on;State Church of the Eastern Roman Empire;;Staatskirche des Oströmischen Reiches;;;x
relics_destroyed;Holy Relics Destroyed;;Heilige Reliquien vernichtet;;;x
sergius_tychus;Paulician Demagogue;;Paulizischer Demagoge;;;x
shia_victorious1;Shi'a Uprising Successful;;Schiitischer Aufstand erfolgreich;;;x
shia_victorious2;Shi'a Uprising Successful;;Erfolgreicher Schiitenaufstand;;;x
stable_ma;Stable Religion;;Stabile Religion;;;x
stable_ma_desc;This religion has a history of being fairly stable, despite aversion.;;Diese Religion hat sich in der Vergangenheit trotz ihrer Abneigung als recht stabil erwiesen.;;;x
strong_emperor_byz;Strong Byzantine Rulers;;Starke byzantinische Herrscher;;;x
third_temple_built;Third Temple Built;;Bau des dritten Tempels;;;x
wald_king;Pious Ruler;;Frommer Herrscher;;;x
wald_sack;Holy Site Sacked;;Heilige Stätte geplündert;;;x
weak_emperor_byz;Weak Byzantine Rulers;;Schwache byzantinische Herrscher;;;x
