#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
RETTYPE_CUL_Ar1;Heavy Anatolian Cavalry;Cavalerie anatolienne lourde;Schwere anatolische Kavallerie;;;x
RETTYPE_CUL_Ar2;Mixed Anatolian;Unité anatolienne mixte;Gemischte anatolische;;;x
RETTYPE_CUL_Ar3;Heavy Anatolian Infantry;Infanterie anatolienne lourde;Schwere anatolische Infanterie;;;x
RETTYPE_CUL_At1;Eastern Horse Archers;Archers montés altaïques;Östliche Pferdebogenschützen;;;x
RETTYPE_CUL_At2;Mixed Altaic;Unité altaïque mixte;Gemischte Altaische;;;x
RETTYPE_CUL_At3;Altaic Skirmishers;Tirailleurs altaïques;Altaische Plänkler;;;x
RETTYPE_CUL_Azt1;Jaguar Warriors;Guerriers Jaguar;Jaguar-Krieger;;;x
RETTYPE_CUL_Azt2;Aztec Warriors;Guerriers Aztèques;Azteken-Krieger;;;x
RETTYPE_CUL_Azt3;Aztec Skirmishers;Tirailleurs Aztèques;Aztekische Plänkler;;;x
RETTYPE_CUL_Ba1;Pagan Nobles;Nobles Païens;Heidnische Adlige;;;x
RETTYPE_CUL_Ba2;Heavy Baltic Infantry;Infanterie Lourde Balte;Schwere baltische Infanterie;;;x
RETTYPE_CUL_Ba3;Baltic Infantry;Infanterie Balte;Baltische Infanterie;;;x
RETTYPE_CUL_Bd1;Desert Cavalry Swarm;Desert Cavalry Swarm;Wüsten-Kavallerie-Schwarm;;;x
RETTYPE_CUL_Bd2;Desert Raiding Party;Desert Raiding Party;Wüstenüberfallkommando;;;x
RETTYPE_CUL_Bd3;Desert Light Infantry;Desert Light Infantry;Leichte Wüsteninfanterie;;;x
RETTYPE_CUL_Bz1;Byzantine Cataphract;Cataphractes Byzantins;Byzantinischer Kataphrakt;;;x
RETTYPE_CUL_Bz2;Heavy Byzantine Infantry;Infanterie Lourde Byzantine;Schwere byzantinische Infanterie;;;x
RETTYPE_CUL_Bz3;Mixed Byzantine;Byzantin Mixte;Gemischte Byzantiner;;;x
RETTYPE_CUL_Cp3;Coptic Helthoi;Coptic Helthoi;Koptische Helthoi;;;x
RETTYPE_CUL_D1;Pike Phalanx;Phalange de Piques;Hecht-Phalanx;;;x
RETTYPE_CUL_D2;Pike and Archers;Piquiers et archers;Pike und Bogenschützen;;;x
RETTYPE_CUL_D3;City Militia;Milice Urbaine;Städtische Miliz;;;x
RETTYPE_CUL_En1;Heavy Longbow;Archers longs lourds;Schwerer Langbogen;;;x
RETTYPE_CUL_En2;English Skirmishers;Escarmouche anglaise;Englische Plänkler;;;x
RETTYPE_CUL_En3;English Infantry;Infanterie Anglaise;Englische Infanterie;;;x
RETTYPE_CUL_Ep1;Lancer Mameluke;Lanciers Mamelouks;Lanzenreiter Mameluke;;;x
RETTYPE_CUL_Ep2;Mameluke Cavalry;Mameluke Cavalry;Mameluken-Kavallerie;;;x
