#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

CATHOLIC_SCHISM_ENDED;All Catholic Christians and heresies will be merged with the [Root.Religion.GetName] faith\n;;Alle katholischen Christen und Häresien werden mit dem [Root.Religion.GetName] Glauben verschmolzen\n;;;;;;;;;;;x
CONSTANTINOPLE_BECOMES_PATRIARCH_SUPREME;The Ecumenical Patriarch will become the new §YPatriarch Supreme§! and thus the religion head for all Chalcedonian Christianity\n;;Der Ökumenische Patriarch wird der neue Oberste §YPatriarch§! und damit das Religionsoberhaupt der gesamten chalkedonischen Christenheit\n;;;;;;;;;;;x
CONSTANTINOPLE_DOES_NOT_EXIST;The §YPatriarchate of Constantinople§! no longer exists, and cannot be created\n;;Das §YPatriarchat von Konstantinopel§! existiert nicht mehr und kann auch nicht neu geschaffen werden\n;;;;;;;;;;;x
CONSTANTINOPLE_IS_YOUR_VASSAL;The §YPatriarchate of Constantinople§! is part of the §Y[Root.PrimaryTitle.GetFullName]§!\n;;Das §YPatriarchat von Konstantinopel§! ist Teil des §Y[Root.PrimaryTitle.GetFullName]§!\n;;;;;;;;;;;x
ECUMENICAL_PATRIARCH_IS_LATIN;The §YEcumenical Patriarch§! has §YLatin Rites§!\n;;Der §YÖkumenische Patriarch§! hat §YLateinische Riten§!\n;;;;;;;;;;;x
MIAPHYSITE_SCHISM_ENDED;All Miaphysites and their heresies will be merged into the [Root.Religion.GetName] faith\n;;Alle Miaphysiten und ihre Irrlehren werden in den [Root.Religion.GetName]-Glauben eingegliedert\n;;;;;;;;;;;x
ORTHODOX_SCHISM_ENDED;All Orthodox Christians and heresies will be merged with the [Root.Religion.GetName] faith\n;;Alle orthodoxen Christen und ihre Irrlehren werden mit dem [Root.Religion.GetName]-Glauben verschmolzen\n;;;;;;;;;;;x
NESTORIAN_SCHISM_ENDED;Nestorianism and its heresies will be merged into the [Root.Religion.GetName] faith\n;;Der Nestorianismus und seine Irrlehren werden mit dem [Root.Religion.GetName]-Glauben verschmolzen werden\n;;;;;;;;;;;x
PAPACY_IS_GREEK;The §YPope of Rome§! has §YGreek Rites§!\n;;Der §YPapst von Rom§! hat §YGriechische Riten§!\n;;;;;;;;;;;x
CONTROL_RELIGION_NO_WAR;§Y[This.GetName]§! is held by a §Y[Root.Religion.GetName]§! ruler and not at war\n;;§Y[This.GetName]§! wird von einem §Y[Root.Religion.GetName]§!-Herrscher gehalten und ist nicht im Krieg\n;;;;;;;;;;;x
RELIGION_HEAD_IS_GREEK;Your religion head has §YGreek Rites§!\n;;Ihr Religionsoberhaupt hat §YGriechische Riten§!\n;;;;;;;;;;;x
RELIGION_HEAD_IS_LATIN;Your religion head has §YLatin Rites§!\n;;Ihr Religionsoberhaupt hat §YLateinische Riten§!\n;;;;;;;;;;;x
ROME_BECOMES_PATRIARCH_SUPREME;The Pope will become the new §YPatriarch Supreme§! and the religion head for all Chalcedonian Christianity\n;;Der Papst wird der neue §YPatriarch Supreme§! und das Religionsoberhaupt für die gesamte chalkedonische Christenheit\n;;;;;;;;;;;x
ROME_DOES_NOT_EXIST;The §YPapacy of Rome§! no longer exists, and cannot be created\n;;Das §YPapsttum von Rom§! existiert nicht mehr und kann nicht geschaffen werden\n;;;;;;;;;;;x
ROME_IS_YOUR_VASSAL;The §YPapacy of Rome§! is part of the §Y[Root.PrimaryTitle.GetFullName]§!\n;;Das §YPapsttum von Rom§! ist Teil des §Y[Root.PrimaryTitle.GetFullName]§!\n;;;;;;;;;;;x
TWO_OTHER_GREEK_PATRIARCHS;At least two other Pentarchs have §YGreek Rites§!\n;;Mindestens zwei andere Pentarchen haben §YGriechische Riten§!\n;;;;;;;;;;;x
TWO_OTHER_LATIN_PATRIARCHS;At least two other Pentarchs have §YLatin Rites§!\n;;Mindestens zwei weitere Pentarchen haben §YLatin Rites§!\n;;;;;;;;;;;x
