#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

TITLE_ENDANGERED;§Y[This.GetFullName]§!: is in danger of §Rdestruction§!\n;;§Y[This.GetFullName]§!: ist in Gefahr von §RZerstörung§!\n;;;;;;;;;;;x
TITLE_ENDANGERED_NO_NAME;is in danger of §Rdestruction§!\n;;ist in Gefahr von §RZerstörung§!\n;;;;;;;;;;;x
TYRANTTOOLTIP10;Gain §R10§! Tyranny\n;;Gewinnt §R10§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP15;Gain §R15§! Tyranny\n;;Gewinnt Sie §R15§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP20;Gain §R20§! Tyranny\n;;Gewinnt §R20§! Tyranny\n;;;;;;;;;;;x
TYRANTTOOLTIP30;Gain §R30§! Tyranny\n;;Gewinnt §R30§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP40;Gain §R40§! Tyranny\n;;Gewinnt §R40§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP5;Gain §R5§! Tyranny\n;;Gewinnt §R5§! Tyrannei\n;;;;;;;;;;;x

TYRANNY_INCREASE_1;Tyranny will be increased by one point;;Die Tyrannei wird um einen Punkt erhöht;;;;;;;;;;;x
TYRANNY_INCREASE_2;Tyranny will be increased by two points;;Tyrannei wird um zwei Punkte erhöht;;;;;;;;;;;x
TYRANNY_INCREASE_4;Tyranny will be increased by four points;;Tyrannei wird um vier Punkte erhöht;;;;;;;;;;;x

IMPERIAL_DECADENCE_MINUS_1;§YImperial Decadence§! in [This.GetName] will be §Greduced§! by 1\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Greduziert§! um 1\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_MINUS_1TO5;§YImperial Decadence§! in [This.GetName] will be §Greduced§! by 1 to 5\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Greduziert§! um 1 bis 5\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_MINUS_2;§YImperial Decadence§! in [This.GetName] will be §Greduced§! by 2\n;;§YImperial Dekadenz§! in [This.GetName] wird §Greduziert§! um 2\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_MINUS_10;§YImperial Decadence§! in [This.GetName] will be §Greduced§! by 10\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Greduziert§! um 10\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_PLUS_1;§YImperial Decadence§!  in [This.GetName]will be §Rincreased§! by 1\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Rsteigt§! um 1\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_PLUS_1TO2;§YImperial Decadence§! in [This.GetName] will be §Rincreased§! by 1 to 2\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Rsteigt§! um 1 bis 2\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_PLUS_1TO3;§YImperial Decadence§! in [This.GetName] will be §Rincreased§! by 1 to 3\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Rsteigt§! um 1 bis 3\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_PLUS_2;§YImperial Decadence§! in [This.GetName] will be §Rincreased§! by 2\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Rsteigt§! um 2\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_PLUS_2TO4;§YImperial Decadence§! in [This.GetName] will be §Rincreased§! by 2 to 4\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Rsteigt§! um 2 bis 4\n;;;;;;;;;;;x
IMPERIAL_DECADENCE_PLUS_3TO5;§YImperial Decadence§! in [This.GetName] will be §Rincreased§! by 3 to 5\n;;§YImperiale Dekadenz§! in [This.GetName] wird §Rsteigt§! um 3 bis 5\n;;;;;;;;;;;x
IMPERIAL_DEC_UNDER_10;§YImperial Decadence§! in [This.GetName] is under 10\n;;§YImperiale Dekadenz§! in [This.GetName] liegt unter 10\n;;;;;;;;;;;x
