#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cult_of_angra_mainyu;The Cult of the Destroyer;;;;;;;;;;;;;x
cult_of_angra_mainyu_desc;The Cult of the Destroyer worship Ahriman sometimes called Angra Mainyu, and refuse the shackles of conventional belief. Their spirituality is instead centered around personal gain and merciless vanquishing of ones enemies, condemning them in the eyes of traditional believers.;;;;;;;;;;;;;x
cult_of_angra_mainyu_leader_desc;The High Priest of the Cult of the Destroyer.;;;;;;;;;;;;;x
cult_of_angra_mainyu_rank_1_female;Abjurer;Apostate;Bannmagierin;;Apóstata;;;;;;;;;x
cult_of_angra_mainyu_rank_1_male;Abjurer;Apostat;Bannmagier;;Apóstata;;;;;;;;;x
cult_of_angra_mainyu_rank_2_female;Conjurer;Sorcière;Beschwörerin;;Conjuradora;;;;;;;;;x
cult_of_angra_mainyu_rank_2_male;Conjurer;Sorcier;Beschwörer;;Conjurador;;;;;;;;;x
cult_of_angra_mainyu_rank_3_female;Priestess;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
cult_of_angra_mainyu_rank_3_male;Priest;Prêtre;Priester;;Sacerdote;;;;;;;;;x
cult_of_angra_mainyu_rank_4_female;High Priestess;Grande prêtresse;Hohepriesterin;;Suma sacerdotisa;;;;;;;;;x
cult_of_angra_mainyu_rank_4_male;High Priest;Grand prêtre;Hohepriester;;Sumo sacerdote;;;;;;;;;x
cult_of_angra_mainyu_recruit;Recruit to the Cult of the Destroyer;;;;;;;;;;;;;x
cult_of_angra_mainyu_recruit_block_tooltip;Has not been approached by the Cult of the Destroyer before.;;;;;;;;;;;;;x
cult_of_angra_mainyu_recruit_desc;Attempt to find out whether §Y[Root.GetTitledFirstName]§! is open to the power of the occult. If so, you may invite [Root.GetHerHim] to become a member of the Cult of the Destroyer.;;;;;;;;;;;;;x
currency_name_cult_of_angra_mainyu;Chaos Power;;;;;;;;;;;;;x
cult_of_balor_recruit;Recruit to the Cult of Balor;;;;;;;;;;;;;x
cult_of_balor_recruit_block_tooltip;Has not been approached by the Cult of Balor before.;;;;;;;;;;;;;x
cult_of_balor_recruit_desc;Attempt to find out whether §Y[Root.GetTitledFirstName]§! is open to the power of the occult. If so, you may invite [Root.GetHerHim] to become a member of the Cult of Balor.;;;;;;;;;;;;;x
currency_name_monastic_order_apostolic;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
currency_name_the_cult_of_balor;Dark Power;Pouvoir obscur;Dunkle Macht;;Poder oscuro;;;;;;;;;x
monastic_order_apostolic;The Brotherhood of Saint James;;;;;;;;;;;;;x
monastic_order_apostolic_desc;The Brotherhood of Saint James is the monastic order of the Apostolic Church in the Holy Land. It's main mission is to maintain and safeguard Church property in the Holy Land and gain more influence worldwide. The monastic order also takes care of the sick and hungry, and educates young priests.;;;;;;;;;;;;;x
monastic_order_apostolic_leader_desc;Tsayraguyn Vardapet of the Brotherhood of Saint James;;;;;;;;;;;;;x
monastic_order_apostolic_rank_1_female;Archaria;Archaria;Archaria;;Acharia;;;;;;;;;x
monastic_order_apostolic_rank_1_male;Abegha;;;;;;;;;;;;;x
monastic_order_apostolic_rank_2_female;Rasophora;Rasophora;Rasophora;;Rasophora;;;;;;;;;x
monastic_order_apostolic_rank_2_male;Vardapet;;;;;;;;;;;;;x
monastic_order_apostolic_rank_3_female;Stavrophora;Stavrophora;Stavrophora;;Staurophora;;;;;;;;;x
monastic_order_apostolic_rank_3_male;Dzayraguyn Vardapet;;;;;;;;;;;;;x
monastic_order_apostolic_rank_4_female;Megaloscheme;Megaloscheme;Megaloscheme;;Gran esquema;;;;;;;;;x
monastic_order_apostolic_rank_4_male;Tsayraguyn Vardapet;;;;;;;;;;;;;x
secret_adoptionist_community;Secret Adoptionist Community;;;;;;;;;;;;;x
secret_adoptionist_community_desc;In secret, Adoptionist faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_apostolic_community;Secret Apostolic Community;;;;;;;;;;;;;x
secret_apostolic_community_desc;In secret, Apostolic faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_arabic_pagan_community;Secret Al-Asnam Community;;;;;;;;;;;;;x
secret_arabic_pagan_community_desc;In secret, Al-Asnam faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_aten_pagan_community;Secret Aten Community;;;;;;;;;;;;;x
secret_aten_pagan_community_desc;In secret, Aten faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_bektashi_community;Secret Bektashi Community;;;;;;;;;;;;;x
secret_bektashi_community_desc;In secret, Bektashi faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_berber_pagan_community;Secret Tamazight Community;;;;;;;;;;;;;x
secret_berber_pagan_community_desc;In secret, Tamazight faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_celtic_pagan_reformed_community;Secret Celtic Pagan Community;;;;;;;;;;;;;x
secret_celtic_pagan_reformed_community_desc;In secret, Celtic Pagan faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_celtic_pagan_community;Secret Celtic Pagan Community;;;;;;;;;;;;;x
secret_celtic_pagan_community_desc;In secret, Celtic Pagan faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_chalcedonian_community;Secret Chalcedonian Community;;;;;;;;;;;;;x
secret_chalcedonian_community_desc;In secret, Chalcedonian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_egyptian_pagan_community;Secret Egyptian Pagan Community;;;;;;;;;;;;;x
secret_egyptian_pagan_community_desc;In secret, Egyptian Pagan faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_german_pagan_reformed_community;Secret Germanic Pagan Community;;;;;;;;;;;;;x
secret_german_pagan_reformed_community_desc;In secret, Germanic Pagan faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_german_pagan_community;Secret Germanic Pagan Community;;;;;;;;;;;;;x
secret_german_pagan_community_desc;In secret, Germanic Pagan faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_hellenic_pagan_community;Secret Hellenic Community;;;;;;;;;;;;;x
secret_hellenic_pagan_community_desc;In secret, Hellenic faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_canaan_pagan_community;Secret Canaanite Community;;;;;;;;;;;;;x
secret_canaan_pagan_community_desc;In secret, Canaanite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_mandaean_community;Secret Mandaean Community;;;;;;;;;;;;;x
secret_mandaean_community_desc;In secret, Mandaean faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_promethean_pagan_community;Secret Promethean Community;;;;;;;;;;;;;x
secret_promethean_pagan_community_desc;In secret, Promethean faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_qarmatian_community;Secret Qarmatian Community;;;;;;;;;;;;;x
secret_qarmatian_community_desc;In secret, Qarmatian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_quranist_community;Secret Quranist Community;;;;;;;;;;;;;x
secret_quranist_community_desc;In secret, Quranist faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_tondrakian_community;Secret Tondrakian Community;;;;;;;;;;;;;x
secret_tondrakian_community_desc;In secret, Tondrakian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
secret_zurvanist_community;Secret Zurvanist Community;;;;;;;;;;;;;x
secret_zurvanist_community_desc;In secret, Zurvanist faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;;;;;x
String_Allat_strength;Allat's strength;;;;;;;;;;;;;x
String_Ammon_strength;Ammon's strength;;;;;;;;;;;;;x
String_Amon_strength;Amon's strength;;;;;;;;;;;;;x
String_Angra_Mainyu;Angra Mainyu;;;;;;;;;;;;;x
String_Apostolic;Apostolic;;;;;;;;;;;;;x
String_Apostolics;Apostolics;;;;;;;;;;;;;x
String_Balor;Balor;;;;;;;;;;;;;x
String_Celtic_Follower;Celtic follower;;;;;;;;;;;;;x
String_CelticPagan;Celtic;;;;;;;;;;;;;x
String_Chalcedonian;Chalcedonian;;;;;;;;;;;;;x
String_Chalcedonians;Chalcedonians;;;;;;;;;;;;;x
String_daeva;Daeva;;;;;;;;;;;;;x
String_daevas;Daevas;;;;;;;;;;;;;x
String_Dark_Spirit;Dark Spirit;;;;;;;;;;;;;x
