#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
String_Imperial;Imperial;;Kaiserlich;;;x
String_Monastic;Monastic;;Klösterlich;;;x
String_DefaultGovernmentName;[Root.Government.GetName];;[Root.Government.GetName];;;x
String_tyranny;Tyranny: §Y[This.tyrant.GetValue]§!;;Tyrannei: §Y[This.tyrant.GetValue]§!;;;x
String_imperial_decadence;Imperial Decadence: §Y[This.PrimaryTitle.imperial_decadence.GetValue]§!;;Kaiserliche Dekadenz: §Y[This.PrimaryTitle.imperial_decadence.GetValue]§!;;;x
String_tributary_period;Years as tributary: §Y[This.PrimaryTitle.tributary_years.GetValue]§!;;Jahre als Tributpflichtiger: §Y[This.PrimaryTitle.tributary_years.GetValue]§!;;;x
String_tributary_period_vassalize;Years as tributary: §G[This.PrimaryTitle.tributary_years.GetValue]§!\n§YThis tributary is eligible to be vassalized by their suzerain.§!;;Jahre als Tributpflichtiger:  §G[This.PrimaryTitle.tributary_years.GetValue]§!\nDieser Tributpflichtige ist berechtigt, von seinem Oberherrn vasalliert zu werden.;;;x
String_ValidChecksum;§GVALID§!;;§GVALID§!;;;x
String_InvalidChecksum;§RINVALID§!;;§RINVALID§!;;;x
String_Ashkenazi;§YAshkenazi§!;;§YAshkenazi§!;;;x
String_Sephardi;§YSephardi§!;;§YSephardi§!;;;x
String_Mizrahim;§YMizrahimi§!;;§YMizrahimi§!;;;x
string_latin;Latin;;Lateinisch;;;x
string_greek;Greek;;Griechisch;;;x
string_iconoclast;iconoclast;;Ikonoklast;;;x
KHARIJITE_REBELLION;Kharijite Rebellion;;Kharijite Rebellion;;;x
NATIONALIST_REVOLT;[Root.Culture.GetName] Liberation Revolt;;[Root.Culture.GetName] Befreiungsrevolte;;;x
SHATTERED_REALM_KHAGANATE;[This.PrimaryTitle.GetName];;[This.PrimaryTitle.GetName];;;x
SHIA_CALIPHATE_REVOLT;The Shi'a Imamate;;Das schiitische Imamat;;;x
