#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
advance_tactic;Advance Tactic;Tactique d'avancement;Vorstoß-Taktik;;Advance Tactic;;;;;;;;;x
bad_advance_tactic;Failed Advance Tactic;Progression ratée;Gescheiterte Vorstoßtaktik;;Failed Advance Tactic;;;;;;;;;x
bad_baltic_infantry_tactic;Failed Baltic Infantry Raid Tactic;Raid d'infanterie balte raté;Gescheiterte Baltische Infanterie-Überfalltaktik;;Failed Baltic Infantry Raid Tactic;;;;;;;;;x
bad_caballero_raid_tactic;Failed Caballero Raid Tactic;Raid des caballeros raté;Gescheiterte Caballero-Überfalltaktik;;Failed Caballero Raid Tactic;;;;;;;;;x
bad_caucasus_advance_tactic;Failed Caucasus Advance Tactic;Progression caucasienne ratée;Kaukasus-Vorstoß-Taktik gescheitert;;Failed Caucasus Advance Tactic;;;;;;;;;x
bad_charge_tactic;Failed Charge Tactic;Charge ratée;Fehlgeschlagene Angriffs-Taktik;;Failed Charge Tactic;;;;;;;;;x
bad_dutch_pike_formation_tactic;Failed Dutch Pike Formation;Formation de piquiers hollandais ratée;Niederländische Hechtformation gescheitert;;Failed Dutch Pike Formation;;;;;;;;;x
bad_eastern_heavy_cav_charge_tactic;Failed Eastern Heavy Cavalry Charge Tactic;Charge de cavalerie lourde orientale;Angriffstaktik der schweren östlichen Kavallerie gescheitert;;Failed Eastern Heavy Cavalry Charge Tactic;;;;;;;;;x
bad_embolon_formation_tactic;Failed Embolon Formation;Formation Embolon ratée;Gescheitert Embolon Formation;;Failed Embolon Formation;;;;;;;;;x
bad_harass_tactic;Failed Harass Tactic;Échec de la tactique de harassement;Belästigungstaktik gescheitert;;Failed Harass Tactic;;;;;;;;;x
bad_heavy_cav_charge_tactic;Failed Heavy Cavalry Charge Tactic;Charge de cavalerie lourde ratée;Taktik Schwere Kavallerieangriff gescheitert;;Failed Heavy Cavalry Charge Tactic;;;;;;;;;x
bad_horsearcher_swarm_tactic;Failed Horse Archer Swarm Tactic;Nuée d'archers montés ratée;Fehlgeschlagene Schwarmtaktik der Pferdebogenschützen;;Failed Horse Archer Swarm Tactic;;;;;;;;;x
bad_housecarl_advance_tactic;Failed Housecarl Advance Tactic;Progression des huscarls ratée;Hauskarren-Vorstoß-Taktik gescheitert;;Failed Housecarl Advance Tactic;;;;;;;;;x
bad_hungarian_cav_swarm_tactic;Failed Hungarian Cavalry Swarm Tactic;Cavalerie hongroise en essaim ratée;Ungarischer Kavallerieschwarm gescheitert Taktik;;Failed Hungarian Cavalry Swarm Tactic;;;;;;;;;x
bad_irish_raid_tactic;Failed Irish Raid Tactic;Raid irlandais raté;Irischer Überfall-Taktik gescheitert;;Failed Irish Raid Tactic;;;;;;;;;x
bad_italian_militia_tactic;Failed Italian Miltia Formation;Formation de milice italienne ratée;Italienische Miltia-Formation gescheitert;;Failed Italian Miltia Formation;;;;;;;;;x
bad_levantine_advance_tactic;Failed Levantine Advance Tactic;Avancée Levantine ratée;"Taktik ""Levantinischer Vormarsch"" gescheitert";;Failed Levantine Advance Tactic;;;;;;;;;x
bad_light_cavalry_strike_tactic;Failed Light Cavalry Strike Tactic;Frappe de cavalerie légère ratée;"Taktik ""Leichter Kavallerieangriff"" gescheitert";;Failed Light Cavalry Strike Tactic;;;;;;;;;x
bad_light_infantry_assault_tactic;Failed Light Infantry Assault Tactic;Assaut d'infanterie légère raté;"Taktik ""Leichter Infanterieangriff"" gescheitert";;Failed Light Infantry Assault Tactic;;;;;;;;;x
bad_longbow_volley_tactic;Failed Longbow Volley Tactic;Salve d'archers longs ratée;Fehlgeschlagene Langbogen-Salve-Taktik;;Failed Longbow Volley Tactic;;;;;;;;;x
bad_mameluke_charge_tactic;Failed Mameluke Charge Tactic;Charge de Mamelouks ratée;Mamelucken-Angriff-Taktik gescheitert;;Failed Mameluke Charge Tactic;;;;;;;;;x
bad_mass_skirmish_tactic;Failed Mass Skirmish Tactic;Escarmouche de masse ratée;Gescheitertes Massengeplänkel-Taktik;;Failed Mass Skirmish Tactic;;;;;;;;;x
bad_melee_charge_tactic;Failed Charge Tactic;Charge ratée;Fehlgeschlagene Attacke-Taktik;;Failed Charge Tactic;;;;;;;;;x
bad_missile_onslaught_tactic;Failed Missile Onslaught Tactic;Assaut fulgurant ratée;Gescheiterter Raketenangriff-Taktik;;Failed Missile Onslaught Tactic;;;;;;;;;x
bad_pike_square_tactic;Failed Pike Square Formation;Carré de piquiers raté;Fehlgeschlagene Pike Square Formation;;Failed Pike Square Formation;;;;;;;;;x
bad_raid_tactic;Failed Raid Tactic;Raid raté;Überfall-Taktik gescheitert;;Failed Raid Tactic;;;;;;;;;x
bad_saracen_archer_volley_tactic;Failed Saracen Archer Volley Tactic;Salves d'archers sarrasins ratée;Saracen-Bogenschützen-Salve-Taktik gescheitert;;Failed Saracen Archer Volley Tactic;;;;;;;;;x
bad_schiltron_formation_tactic;Failed Schiltron Formation;Formation Schiltron ratée;Schiltron-Formation gescheitert;;Failed Schiltron Formation;;;;;;;;;x
bad_shieldwall_tactic;Failed Shieldwall Tactic;Mur de bouclier poreux;Schildwall-Taktik gescheitert;;Failed Shieldwall Tactic;;;;;;;;;x
bad_stand_fast_tactic;Failed Standfast Tactic;Maintien de position raté;Fehlgeschlagene Standfast-Taktik;;Failed Standfast Tactic;;;;;;;;;x
bad_swarm_tactic;Failed Swarm Tactic;Nuée ratée;Schwarm-Taktik gescheitert;;Failed Swarm Tactic;;;;;;;;;x
bad_swift_russian_advance_tactic;Failed Swift Russian Advance Tactic;Progression russe rapide ratée;"Taktik ""Schneller russischer Vorstoß"" gescheitert";;Failed Swift Russian Advance Tactic;;;;;;;;;x
bad_volley_tactic;Failed Volley Tactic;Échec de la volée;Gescheiterte Salven-Taktik;;Failed Volley Tactic;;;;;;;;;x
baltic_infantry_tactic;Baltic Infantry Raid Tactic;Raid d'infanterie balte;Baltische Infanterie-Überfall-Taktik;;Baltic Infantry Raid Tactic;;;;;;;;;x
caballero_raid_tactic;Caballero Raid Tactic;Raid des caballeros;Caballero-Überfall-Taktik;;Caballero Raid Tactic;;;;;;;;;x
caucasus_advance_tactic;Caucasus Advance Tactic;Progression caucasienne;Kaukasus-Vorstoß-Taktik;;Caucasus Advance Tactic;;;;;;;;;x
charge_tactic;Charge Tactic;Charge;Angriffs-Taktik;;Charge Tactic;;;;;;;;;x
devestating_advance_tactic;Devastating Advance Tactic;Tactique d'avancée dévastatrice;Verheerende Vorstoß-Taktik;;Devastating Advance Tactic;;;;;;;;;x
devestating_charge_tactic;Devastating Charge Tactic;Tactique de charge dévastatrice;Verheerende Attacke-Taktik;;Devastating Charge Tactic;;;;;;;;;x
devestating_harass_tactic;Devastating Harass Tactic;Tactique de harcèlement dévastatrice;Verheerende Belästigungs-Taktik;;Devastating Harass Tactic;;;;;;;;;x
devestating_raid_tactic;Devastating Raid Tactic;Tactique de raid dévastatrice;Verheerende Überfall-Taktik;;Devastating Raid Tactic;;;;;;;;;x
devestating_shieldwall_tactic;Devastating Shieldwall Tactic;Tactique du mur de boucliers dévastatrice;Verheerende Schildwall-Taktik;;Devastating Shieldwall Tactic;;;;;;;;;x
devestating_standfast_tactic;Devastating Standfast Tactic;Tactique de résistance dévastatrice;Verheerende Standfest-Taktik;;Devastating Standfast Tactic;;;;;;;;;x
devestating_swarm_tactic;Devastating Swarm Tactic;Tactique de regroupement dévastatrice;Verheerende Schwarmtaktik;;Devastating Swarm Tactic;;;;;;;;;x
devestating_volley_tactic;Devastating Volley Tactic;Tactique de salve dévastatrice;Verheerende Salve-Taktik;;Devastating Volley Tactic;;;;;;;;;x
disorderly_advance_tactic;Disorderly Advance Tactic;Tactique d'avancée désordonnée;Ungeordneter Vormarsch-Taktik;;Disorderly Advance Tactic;;;;;;;;;x
disorderly_charge_tactic;Disorderly Charge Tactic;Tactique de Charge désordonnée;Ungeordnete Attacke-Taktik;;Disorderly Charge Tactic;;;;;;;;;x
disorderly_harass_tactic;Disorderly Harass Tactic;Tactique de harcèlement désordonnée;Ordnungswidrige Belästigungstaktik;;Disorderly Harass Tactic;;;;;;;;;x
disorderly_raid_tactic;Disorderly Raid Tactic;Tactique de raid désordonnée;Ungeordneter Überfall-Taktik;;Disorderly Raid Tactic;;;;;;;;;x
disorderly_shieldwall_tactic;Disorderly Shieldwall Tactic;Tactique du mur de boucliers désordonnée;Ungeordneter Schildwall-Taktik;;Disorderly Shieldwall Tactic;;;;;;;;;x
