#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
abuse_stopper_timer;Abuse Stopper Timer;Abuser du modificateur d'arrest;Missbrauchs-Stopper-Timer;;;x
bastard_legit_request_timer;Can't Request Legitimization;Ne peult point demander la légitimation.;Kann keine Legitimation beantragen;;;x
charity_timer;Recently gave money to charity;A récemment donné l'argent aulx pauvres;Kürzlich Geld für wohltätige Zwecke gespendet;;;x
convert_province_timer;Recently converted a province;A récemment converti une province;Kürzlich eine Provinz umgewandelt;;;x
county_conquest_timer;Recent County Conquest;Conqueste récente;Kürzliche Eroberung einer Provinz;;;x
crusade_timer;Crusade Timer;Croisade récente;Kreuzzug-Timer;;;x
crusade_timer_desc;A crusade has recently been called and another cannot be called until this timer wears out.;Une croisade a récemment été lancée et une aultre ne peult point estre appelée avant que ce modificateur ne se dissipe.;Ein Kreuzzug wurde kürzlich ausgerufen und ein weiterer kann erst wieder ausgerufen werden, wenn dieser Timer abgelaufen ist.;;;x
crusade_block_timer;Crusade Block Timer;;Kreuzzug-Block-Timer;;;x
crusade_block_timer_desc;A crusade has recently been called and another cannot be called until this timer wears out.;;Ein Kreuzzug wurde kürzlich ausgerufen und ein weiterer kann nicht ausgerufen werden, bis dieser Timer abgelaufen ist.;;;x
desc_county_conquest_timer;This character has recently started a County Conquest and cannot begin another until this modifier expires.;Ce personnage a récemment lancé une conqueste de comté et ne peult point en lancer d'aultre avant que ce modificateur ne se dissipe.;Dieser Charakter hat vor kurzem eine Eroberung einer Grafschaft begonnen und kann keine weitere beginnen, bis dieser Modifikator abläuft.;;;x
desc_holy_war_timer;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;;Dieser Charakter hat vor kurzem einen Heiligen Krieg begonnen, und weitere Heilige Kriege kosten mehr Frömmigkeit, es sei denn, sie werden vom Religionsoberhaupt gebilligt.;;;x
employment_timer;Recently employed a character;A récemment employé un personnage;Kürzlich einen Charakter angestellt;;;x
friend_help_request_timer;Already Requested a Friend's Help;A déjà demandé l'aide d'un ami;Hat bereits die Hilfe eines Freundes angefordert;;;x
gain_demesne_obj_timer;Can't use the Increase Demesne Objective;Ne peult point utiliser l'objectif pour agrandir le domaine;Kann das Ziel "Demesne vergrößern" nicht verwenden;;;x
holding_epic_tournament;Hosting an Epic Tournament;;Ausrichten eines epischen Turniers;;;x
holy_truce_timer;Truce;Tresve;Waffenstillstand;;;x
holy_truce_timer_desc;This character cannot initiate or be the target of a war until this modifier wears off.;Ce personnage ne peult point initier ou estre la cible d'une guerre jusqu' ce que ce modificateur se dissipe.;Dieser Charakter kann keinen Krieg beginnen oder das Ziel eines Krieges sein, bis dieser Modifikator abklingt.;;;x
holy_war_timer;Recent Holy War;Guerre sainte récente;Kürzlicher Heiliger Krieg;;;x
indulgence_timer;Recently bought an indulgence;A récemment acheté une indulgence;Kürzlich einen Ablass gekauft;;;x
loan_timer;Loan Taken;Emprunt Contracté;Angenommene Leihgabe;;;x
loan_timer_desc;A loan will be due for repayment at the expiration date of this modifier.;Un emprunt devra estre remboursé la date d'expiration de ce modificateur.;Ein Darlehen wird bei Ablauf dieses Modifikators zur Rückzahlung fällig.;;;x
loan_timer_jews;Jewish Loan Taken;Emprunt Juif Contracté;Jüdisches Darlehen genommen;;;x
loan_timer_jews_desc;A loan will be due to the Jewish merchants for repayment at the expiration date of this modifier.;Un emprunt devra estre remboursé aulx marchands juifs la date d'expiration de ce modificateur.;Bei Ablauf dieses Modifikators wird ein Darlehen bei den jüdischen Händlern zur Rückzahlung fällig.;;;x
lower_decadence_obj_timer;Can't use the Lower Decadence Objective;Ne peult point utiliser l'Objectif de Diminution de la Décadence;Kann das Ziel "Niedere Dekadenz" nicht verwenden.;;;x
peace_declared_10_timer;Peaceful Reign;Règne paisible;Friedliche Herrschaft;;;x
plot_reveal_timer;Already Revealed a Plot;A déj révélé un complot;Bereits eine Verschwörung aufgedeckt;;;x
ramadan_timer;Recently observed Ramadan;A récemment fait le Ramadan;Kürzlich beobachteter Ramadan;;;x
ransom_timer;Demanding Ransoms;Demander les rançons;Lösegeld gefordert;;;x
sanction_timer;Recently requested sanction;Sanction récemment demandée;Kürzlich um Sanktionen gebeten;;;x
victory_timer;Recently victorious in a war;A récemment remporté une guerre;Kürzlich in einem Krieg gesiegt;;;x
shattered_realm_cb_timer;Shattered Realm CB Expiry;;Zerschmettertes Reich CB-Ablauf;;;x
shattered_realm_cb_timer_desc;The shattered realm CB expires when this modifiers expires.;;Die CB des zerrütteten Reiches läuft ab, wenn dieser Modifikator abläuft.;;;x
tributary_timer;Tributary Timer;;Tributpflichtiger Timer;;;x
tributary_timer_desc;This character cannot make another tributary action until this modifier expires.;;Der Charakter kann keine weitere Tributaktion durchführen, bis dieser Modifikator abläuft.;;;x
