#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Vanilla factions
emf_ctt_holds_viceroyalty;Holds any viceroyalty title\n;;;;;;;;;;;;;x
emf_laws_ctt_patrician_not_primary_title;Holder is a Patrician and §Y[This.GetFullName]§! is not a Merchant Republic title\n;;;;;;;;;;;;;x

# realm_decisions
FEMALE_CAN_FIGHT_IN_TOURNAMENT;Can fight in own tournament\n;;;;;;;;;;;;;x
HAS_CHAMPION_AVAILABLE;Has champion available\n;;;;;;;;;;;;;x

# Title decisions
FIND_TEMPLE_BUILDER;Find a suitable courtier to build the temple\n;;;;;;;;;;;;;x
HAS_POSSIBLE_TEMPLE_BUILDER;Has a courtier who might be willing to build a temple\n;;;;;;;;;;;;;x
NOT_BUILDING_CITY;Not currently constructing a new city\n;;;;;;;;;;;;;x
NOT_BUILDING_TEMPLE;Not currently constructing a new temple\n;;;;;;;;;;;;;x

# Plus Celtic pagan decisions
HAS_COURT_DRUID_AVAILABLE;Has court druid available\n;;;;;;;;;;;;;x
HAS_BARD_AVAILABLE;Has court bard available\n;;;;;;;;;;;;;x

# (Plus) faction decisions
HAS_NO_CIVIL_WAR;Not currently in a civil war\n;;;;;;;;;;;;;x

# Plus vassal decisions
HAS_RECENTLY_CORRUPTED_COUNCILLOR;Has corrupted a member of the council within the last year\n;;;;;;;;;;;;;x

# Plus title triggers
HAS_SIZE_EMPIRE;Realm has at least §Y150§! holdings or §Y50§! provinces\n;;;;;;;;;;;;;x
HAS_THREE_KING_TITLES;Has at least three non-titular kingdom titles\n;;;;;;;;;;;;;x
NOT_IMPERIAL_GOVERNMENT;Does §RNOT§! have §YImperial Government§! or §YImperial Iqta Government§!\n;;;;;;;;;;;;;x
NOT_RESTRICTED_BY_LOCKOUT_LAW;§Y[Root.TopLiege.PrimaryTitle.GetFullName]§! does not have §YNo Vassal Kings§! law\n;;;;;;;;;;;;;x

# (Plus specific) realm decisions
HAS_TWO_DUKE_TITLES;Has at least two non-titular duke titles\n;;;;;;;;;;;;;x
HAS_TWO_KING_TITLES;Has at least two non-titular kingdom titles\n;;;;;;;;;;;;;x
RECENT_INDULGENCE;Recently bought an indulgence\n;;;;;;;;;;;;;x

# Minor decisions
HAS_THREE_NORSE_VASSALS_AVAILABLE;Has at least three Norse vassals available who are not at war\n;;;;;;;;;;;;;x

