#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
amber_road;Amber Road;;Bernsteinstraße;;;x
atlantic_trade;Atlantic Trade;;Atlantik Handel;;;x
balkan_road;Balkan Road;;Balkanstraße;;;x
baltic_sea;Baltic Sea Trade;;Ostseehandel;;;x
british_trade;British Trade;;Britischer Handel;;;x
french_trade;French Trade;;Französischer Handel;;;x
grand_trunk_road;Grand Trunk Road;;;;;x
rus_road;Rus Road;;Rus-Straße;;;x
iberian_trade;Iberian Trade;;Iberischer Handel;;;x
mediterranean_trade;Mediterranean Trade;;Mittelmeer-Handel;;;x
salt_road;Salt Road;;Salzstraße;;;x
timbuktu_trade;African Trade;;Afrikanischer Handel;;;x
