#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# Plus Traits:
#
#
# Total: 164
##########################
abdicated;Abdicated;;Abgetreten;;;x
abdicated_desc;This character voluntarily abdicated their titles to their heir.;;Dieser Charakter hat seinen Titel freiwillig an seinen Erben abgetreten.;;;x
absentminded;Absent-Minded;;Geistesabwesend;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;;Dieser unberechenbare Charakter wurde mit einem schusseligen Temperament geboren. Sie neigen dazu, Dinge leicht zu vergessen, sich zu leicht ablenken zu lassen, oder beides. Dieses Verhalten mag für manche liebenswert sein, für andere ist es ein Ärgernis.;;;x
adopted;Adopted;;Adoptiert;;;x
adopted_desc;This character was not born into their family, but was adopted into it -- an uncommon practice, and thus making them, in the eyes of most, worse even than a bastard.;;Dieser Charakter wurde nicht in seine Familie hineingeboren, sondern wurde adoptiert - eine ungewöhnliche Praxis, die ihn in den Augen der meisten sogar schlimmer als einen Bastard macht.;;;x
agile;Agile;;Wendig;;;x
agile_desc;This character is nimbler and quicker than most.;;Dieser Charakter ist flinker und schneller als die meisten anderen.;;;x
alexandrine;Alexandrine;;Alexandrinisch;;;x
alexandrine_desc;This character is devoted to the Alexandrine School of Theology and its teachings.;;Dieser Charakter ist der alexandrinischen Schule der Theologie und ihren Lehren zugetan.;;;x
ambidextrous;Ambidextrous;;Beidhändig;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;;Dieser Charakter kann von Natur aus beide Hände mit gleicher Geschicklichkeit benutzen. Dadurch ist er bei allem, was er tut, effizienter, sei es beim Schwingen von Schwertern oder beim Schreiben von Briefen.;;;x
antiochene;Antiochian;;Antiochenisch;;;x
antiochene_desc;This character is devoted to the Antiochian School of Theology and its teachings.;;Dieser Charakter ist der Antiochenischen Theologischen Schule und ihren Lehren zugetan.;;;x
beauty;Famous Beauty;;Berühmte Schönheit;;;x
beauty_desc;This character is renowned for her beauty, having been recognized as such at a tournament.;;Dieser Charakter ist für seine Schönheit bekannt, da er bei einem Turnier als solcher anerkannt wurde.;;;x
bloodlust;Dreams of Conquest;;Träume von Eroberung;;;x
bloodlust_desc;This is a special trait that encourages the AI to be more aggressive.;;Dies ist eine besondere Eigenschaft, die die KI zu mehr Aggressivität ermutigt.;;;x
calm_voice;Calm Voice;;Ruhige Stimme;;;x
calm_voice_desc;This character's voice is naturally soothing. While it is neither powerful nor melodious, its mildness can calm even the angriest of people, and slyly persuade even the most skeptical of men.;;Die Stimme dieses Charakters ist von Natur aus beruhigend. Sie ist zwar weder kraftvoll noch melodiös, aber ihre Milde kann selbst die wütendsten Menschen beruhigen und selbst die skeptischsten Männer mit List und Tücke überzeugen.;;;x
champion;Champion;;Meister;;;x
champion_desc;This character has fought in many battles, including ones against heathens.;;Dieser Charakter hat in vielen Schlachten gekämpft, auch gegen Heiden.;;;x
court_anarchy;Court Anarchy;;Anarchie am Hof;;;x
court_anarchy_desc;The ruler has been made into a veritable prisoner by his own court--a regent controls his affairs, and his court runs rampant with infighting as they vie with each other for influence. Whether or not he will be able to regain control is unknown.;;Der Herrscher wurde von seinem eigenen Hofstaat zu einem wahren Gefangenen gemacht - ein Regent kontrolliert seine Angelegenheiten, und an seinem Hof toben Machtkämpfe, da sie miteinander um Einfluss konkurrieren. Ob es ihm gelingen wird, die Kontrolle wiederzuerlangen, ist unbekannt.;;;x
crowned;Crowned;;Gekrönt;;;x
crowned_desc;The character has been officially coronated and recognized as ruler in front of their gathered vassals.;;Der Charakter wurde offiziell gekrönt und vor seinen versammelten Vasallen als Herrscher anerkannt.;;;x
crowned_by_relhead;Crowned;;Gekrönt;;;x
crowned_by_relhead_desc;The character has been officially coronated by a religious leader and recognized as ruler in front of their gathered vassals and foreign guests.;;Der Charakter wurde offiziell von einem religiösen Führer gekrönt und vor seinen versammelten Vasallen und ausländischen Gästen als Herrscher anerkannt.;;;x
crowned_by_vip;Crowned;;Gekrönt;;;x
crowned_by_vip_desc;The character has been officially coronated by a high ranking priest and recognized as ruler in front of their gathered vassals and foreign guests.;;Der Charakter wurde offiziell von einem hochrangigen Priester gekrönt und vor seinen versammelten Vasallen und ausländischen Gästen als Herrscher anerkannt.;;;x
crowned_by_pope;Crowned by the Pope;;Gekrönt durch den Papst;;;x
crowned_by_pope_desc;This ruler was anointed by the Vicar of [GetChristName] himself.\nThis is incontrovertible proof of [Root.GetHerHis] divine right to rule.;;Dieser Herrscher wurde vom Vikar von [GetChristName] selbst gesalbt.\nDies ist ein unanfechtbarer Beweis für [From.GetHerHis] göttliches Recht zu herrschen.;;;x
cult_of_cybele;Cult of Cybele;;Kult der Cybele;;;x
cult_of_cybele_desc;This character is a member of the Hellenic Cult of Cybele.;;Dieser Charakter ist ein Mitglied des hellenischen Kybele-Kultes.;;;x
cult_of_despoina;Cult of Despoina;;Kult der Despoina;;;x
cult_of_despoina_desc;This character is a member of the Hellenic Cult of Despoina;;Dieses Zeichen ist ein Mitglied des hellenischen Kultes der Despoina;;;x
cult_of_lucifer;Cult of Lucifer;;Kult des Luzifers;;;x
cult_of_lucifer_desc;This character has joined the Messalian Cult of Lucifer, and thus has secret knowledge of Heaven and Hell.;;Dieser Charakter ist dem messalischen Kult Luzifers beigetreten und hat somit geheimes Wissen über Himmel und Hölle.;;;x
cult_of_orpheus;Cult of Orpheus;;Kult des Orpheus;;;x
cult_of_orpheus_desc;This character is a member of the Hellenic Cult of Orpheus.;;Dieser Charakter ist Mitglied des hellenischen Orpheus-Kultes.;;;x
cult_of_serapis;Cult of Serapis;;Kult des Serapis;;;x
cult_of_serapis_desc;This character is a member of the Hellenic Cult of Serapis.;;Dieser Charakter ist Mitglied des hellenischen Serapis-Kultes.;;;x
cult_of_trophonius;Cult of Trophonius;;Kult des Trophonius;;;x
cult_of_trophonius_desc;This character is a member of the Hellenic Cult of Trophonius;;Dieser Charakter ist Mitglied des hellenischen Kultes des Trophonius.;;;x
deaf;Deaf;;Taub;;;x
deaf_desc;This character is hard of hearing, or, worse, cannot hear at all. Such a disability limits their ability to function.;;Dieser Charakter ist schwerhörig, oder schlimmer noch, er kann überhaupt nicht hören. Eine solche Behinderung schränkt seine Handlungsfähigkeit ein.;;;x
decadent1;Legitimacy Questioned;;Legitimität in Frage gestellt;;;x
decadent1_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;Die Dekadenz unserer Dynastie hat dazu geführt, dass unser Recht zu regieren von unseren Vasallen in Frage gestellt wird.;;;x
decadent2;Legitimacy Questioned;;Legitimität in Frage gestellt;;;x
decadent2_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;Die Dekadenz unserer Dynastie hat dazu geführt, dass unser Recht zu herrschen von unseren Vasallen in Frage gestellt wird.;;;x
decadent3;Legitimacy Questioned;;Legitimität in Frage gestellt;;;x
decadent3_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;Die Dekadenz unserer Dynastie hat dazu geführt, dass unser Recht zu herrschen von unseren Vasallen in Frage gestellt wird.;;;x
decadent4;Legitimacy Questioned;;Legitimität in Frage gestellt;;;x
decadent4_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;Die Dekadenz unserer Dynastie hat dazu geführt, dass unser Recht zu herrschen von unseren Vasallen in Frage gestellt wird.;;;x
decadent5;Legitimacy Questioned;;Legitimität in Frage gestellt;;;x
