#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
CANNOT_SING;You are too shy to sing, and remain silent.\n;;Du bist zu schüchtern, um zu singen, und bleibst stumm.\n;;;x
CONSIDER_OTHER_OPTIONS;Consider the other choices for Shekhinah...\n;;Bedenke die anderen Möglichkeiten der Schechinah...\n;;;x
choose_mani_patron;Choose the shekhinah to which you will devote yourself;;Wähle die Shekhinah, der du dich widmen willst;;;x
choose_mazdaki_patron;Choose the Power to which you will devote yourself;;Wähle die Macht, der du dich widmen willst;;;x
HAS_THREE_MANICHAEAN_VASSALS_AVAILABLE;Has at least three Manicheaen vassals available\n;;Hat mindestens drei Manicheaen-Vasallen zur Verfügung\n;;;x
HAS_THREE_YAZIDI_VASSALS_AVAILABLE;Has at least three Yazidi vassals who can attend\n;;Hat mindestens drei jesidische Vasallen, die teilnehmen können\n;;;x
prepare_bema_feast;Begin preparations for the Bema feast!\n;;Beginnt mit den Vorbereitungen für das Bema-Fest!\n;;;x
RESTORE_MAZDAKI_PRIESTHOOD;Create the Mazdaki Priesthood;;Erschafft die Mazdaki-Priesterschaft;;;x
SENJAQ_DROPPED;You drop the Senjaq! Oh no!;;Du lässt die Senjaq fallen! Oh nein!;;;x
SENJAQ_POSSESSED;You are overcome by the spirit of an angel!;;Du wirst vom Geist eines Engels überwältigt!;;;x
SENJAQ_STRONGER;You are made stronger by the experience;;Du wirst durch die Erfahrung gestärkt;;;x
SENJAQ_ZEALOUS;You are filled with religious fervor;;Du bist erfüllt von religiöser Inbrunst;;;x
TOUCHED_BY_BEAUTY;You are overwhelmed by the spirit of faith.\n;;Du bist überwältigt vom Geist des Glaubens.;;;x
KHORRAMDIN_REBELLION;Khorramdin Rebellion;;Khorramdin-Rebellion;;;x
