#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTDESC_ancrel_1190;A courier has come forth inviting all free men and women of the realm to attend a grand Aonach Tailteann, the like of which is only seen once per reign.;Un coursier est venu inviter tous les hommes et femmes libres du Royaume à participer à un grand Aonach Teltainn, de ceux qui ne sont organisés qu’une fois au cours d’un règne.;Ein Kurier hat alle freien Männer und Frauen des Reiches zu einem großen Aonach Tailteann eingeladen, wie es nur einmal pro Herrschaft stattfindet.;;Un mensajero ha salido invitando a todos los hombres y mujeres libres del reino para asistir a una gran Aonach Tailteann, como el de que sólo se ve una vez al reinado.;;;;;;;;;x
EVTOPTA_ancrel_1190;A perfect opportunity to prove ourselves;L’occasion de prouver notre valeur.;Eine perfekte Gelegenheit, uns zu beweisen.;;Una oportunidad perfecta para demostrar a nosotros mismos;;;;;;;;;x
EVTOPTB_ancrel_1190;I prefer to worship my ancestors in private.;Je préfère adorer mes ancêtres en privé.;Ich ziehe es vor, meine Vorfahren im Privaten zu verehren.;;Yo prefiero a adorar a mis ancestros en privado.;;;;;;;;;x
EVTDESC_ancrel_1191;It is time for the Aonach Tailteann, for the next month let us all show our respect for the dead and our might in the games.;Avec le tournoi, chacun pourra, au cours des deux mois à venir, afficher son excellence martiale.;Es ist Zeit für das Aonach Tailteann, den nächsten Monat lang wollen wir alle unseren Respekt vor den Toten und unsere Macht in den Spielen unter Beweis stellen.;;Es hora de que el torneo nos deleite durante dos meses con la brillantez de sus combates.;;;;;;;;;x
EVTOPTA_ancrel_1191;This is the time;L’heure est venue.;Dies ist die Zeit;;Esta es la ocasión.;;;;;;;;;x
EVTOPTB_ancrel_1191;Sadly a small war will delay this;Malheureusement, une petite guerre le retardera.;Leider wird ein kleiner Krieg dies verzögern;;Por desgracia, una guerra aplazará el evento.;;;;;;;;;x
EVTDESC_ancrel_1192;The grand Aonach Tailteann of [From.GetTitledName] has been cancelled due to war.;Le grand Aonach Tailteann de [From.GetTitledName] a été annulé à cause de la guerre.;Das große Aonach Tailteann von [From.GetTitledName] ist wegen eines Krieges abgesagt worden.;;El Gran Aonach Tailteann de [From.GetTitledName] se ha cancelado debido a la guerra.;;;;;;;;;x
EVTOPTA_ancrel_1192;How dare they interrupt this celebration!;Comment osent-ils interrompent cette célébration!;Wie können sie es wagen, dieses Fest zu stören!;;¿Cómo se atreven a interrumpir esta celebración!;;;;;;;;;x
EVTDESC_ancrel_1193;I have sent forth messengers around the realm to spread the word that a grand Aonach Tailteann will be held;Je vous ai envoyé des messagers dans le royaume à passer le mot que une grande Aonach Tailteann aura lieu;Ich habe Boten im ganzen Reich ausgesandt, um die Nachricht zu verbreiten, dass ein großes Aonach Tailteann stattfinden wird.;;He enviado mensajeros en todo el ámbito de correr la voz de que un gran Aonach Tailteann se llevará a cabo;;;;;;;;;x
EVTOPTA_ancrel_1193;The Aonach Tailteann begins soon;;Das Aonach Tailteann beginnt bald;;;;;;;;;;;x
EVTDESC_ancrel_1194;As I draw my last breath I remember the Aonach Tailteann. Alas, what irony!;;Während ich meinen letzten Atemzug mache, erinnere ich mich an das Aonach Tailteann. Welch eine Ironie!;;;;;;;;;;;x
EVTOPTA_ancrel_1194;I hope my subjects will remember me as a benevolent ruler;J'espère que mes sujets se souviendront de moi comme d'un dirigeant bienveillant.;Ich hoffe, meine Untertanen werden sich an mich als wohlwollenden Herrscher erinnern;;Espero que mis súbditos me recuerden como un gobernante benevolente.;;;;;;;;;x
EVTTOOLTIP_ancrel_1195;Your vassals will be informed of your untimely death;Vos vassaux seront informés de votre mort prématurée.;Eure Vasallen werden über Euren vorzeitigen Tod informiert werden;;Tus vasallos serán informados sobre tu prematura muerte.;;;;;;;;;x
