#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#### TOOLTIPS;;;;;;;;;;;;;;x
no_other_laws_passed;No other laws in this group have been passed.\n;;Es wurden keine weiteren Gesetze dieser Gruppe verabschiedet.\n;;;x
### Effects of Crown Authority;;;;;;;;;;;;;;x
emf_laws_ctt_enables_revokation_1;Enables sub-law §GTitle Revocation Allowed§!\n;;Ermöglicht Untergesetz §GTitelwiderruf erlaubt§!\n;;;x
emf_laws_ctt_enables_king_peace_1;Enables sub-law §GInternal King's Peace§!\n;;Aktiviert Untergesetz §GInterner Königsfrieden§!\n;;;x
emf_laws_ctt_enables_revokation_2;Enables sub-law §GFree Infidel Title Revocation§!\n;;Aktiviert Untergesetz §GFreier Ungläubiger Titelentzug§!\n;;;x
emf_laws_ctt_enables_succ_seniority;Enables law §GSeniority Succession§!\n;;Ermöglicht Gesetz §GSenioritätsnachfolge§!\n;;;x
emf_laws_ctt_enables_dejure_duchy_claim;Enables casus belli §GDe Jure Duchy Claim§!\n;;Ermöglicht casus belli §GDe Jure Herzogtumsanspruch§!\n;;;x
emf_laws_ctt_enables_subjugation_duke;Enables casus belli §GSubjugation§! against §GDUKE§! targets\n;;Ermöglicht casus belli §GUnterwerfung§! gegen §GHerzögtümer§! Ziele\n;;;x
emf_laws_ctt_enables_inheritance_1;Enables sub-law §GProtected Inheritance§!\n;;Ermöglicht Untergesetz §GGeschütztes Erbe§!\n;;;x
emf_laws_ctt_enables_succ_primogeniture;Enables law §GPrimogeniture Succession§!\n;;Ermöglicht Gesetz §GPrimogenitur Erbfolge§!\n;;;x
emf_laws_ctt_enables_succ_ultimogeniture;Enables law §GUltimogeniture Succession§!\n;;Ermöglicht Gesetz §GUltimogenitur-Nachfolge§!\n;;;x
emf_laws_ctt_prevents_internal_military_plots;Prevents internal vassal military plots\n;;Verhindert interne Vasallen-Militärplots\n;;;x
emf_laws_ctt_enables_subjugation_king;Enables casus belli §GSubjugation§! against §GKING§! targets\n;;Ermöglicht casus belli §GUnterwerfung§! gegen §GKÖNIGE§!Ziele\n;;;x
emf_laws_ctt_enables_king_peace_2;Enables sub-law §GComplete King's Peace§!\n;;Ermöglicht Untergesetz §GVollständiger Königsfrieden§!\n;;;x
emf_laws_ctt_enables_imperial_administration;Enables law §GImperial Administration§!\n;;Ermöglicht Gesetz §GKaiserliche Verwaltung§!\n;;;x
emf_laws_ctt_enables_dejure_kingdom_claim;Enables casus belli §GDe Jure Kingdom Claim§!\n;;Ermöglicht casus belli §GDe Jure Königreichsanspruch§!\n;;;x
emf_laws_ctt_opinion_increase_authority;Opinion of §R-15§! from all rulers affected by the crown laws of this title for §Y10§! years\n;;Meinung von §R-15§! von allen Herrschern, die von den Krongesetzen dieses Titels betroffen sind, für §Y10§! Jahre\n;;;x
### Triggers;;;;;;;;;;;;;;x
emf_laws_ctt_ca_change_cooldown;Crown Authority for §Y[This.GetBaseName]§! may only be raised once per lifetime\n;;Die Kronautorität für §Y[This.GetBaseName]§! kann nur einmal pro Leben erhöht werden\n;;;x
emf_laws_ctt_investiture_change_cooldown;Investiture law for §Y[This.GetBaseName]§! may only be changed once per lifetime\n;;Das Investiturgesetz für §Y[This.GetBaseName]§! kann nur einmal pro Leben geändert werden\n;;;x
