#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_crusader;the Crusader;le Croisé;der Kreuzfahrer;;El Paladín;;;;;;;;;x
nick_the_trembling;the Trembling;le Tremblant;das Zitternd;;el Temblor;;;;;;;;;x
nick_the_deacon;the Deacon;le Diacre;der Diakon;;el Diácono;;;;;;;;;x
nick_the_catholic;the Catholic;le Catholique;der Katholische;;el Católico;;;;;;;;x
nick_the_kid;the Kid;l'Enfant;den Kid;;el Niño;;;;;;;;;x
nick_the_hairy;the Hairy;le Chevelu;der Haarige;;el Velloso;;;;;;;;;x
nick_the_fratricide;the Fratricide;le Fratricide;der Brudermord;;el Fraticidio;;;;;;;;;x
nick_the_lackland;Lackland;sans Terre;Ohneland;;el Sin Tierra;;;;;;;;;x
nick_the_green;the Green;le Vert;die Grüne;;el Verde;;;;;;;;;x
nick_the_brown;the Brown;le Brun;der Braun;;el Marrón;;;;;;;;;x
nick_the_white;the White;le Blanc;der Weiß;;el Blanco;;;;;;;;;x
nick_the_bearded;the Bearded;le Barbu;der Bärtige;;el Barbudo;;;;;;;;;x
nick_the_red;the Red;le Rouges;der Rote;;el Rojo;;;;;;;;;x
nick_the_butcher;the Butcher;le Boucher;der Metzger;;el Carnicero;;;;;;;;;x
nick_the_bulgar_slayer;the Bulgar-Slayer;le Bulgare-tueur;der Bulgar-Bezwinger;;el Bulgar-asesino;;;;;;;;;x
nick_the_ill_advised;the Ill-advised;le Malavisé;der Schlecht-Beraten;;la Poco-Aconsejable;;;;;;;;;x
nick_forkbeard;Forkbeard;Mostelle de Roche;Gabelbart;;Brótola de Roca;;;;;;;;;x
nick_skotkonung;Skötkonung;Skötkonung;Skötkonung;;Skötkonung;;;;;;;;;x
nick_almanzor;al-Mansur bi-llah;al-Mansur bi-llah;al-Mansur bi-llah;;al-Mansur bi-llah;;;;;;;;;x 
nick_pendragon;Mab Darogan;;;;;;;;;;;;;x 
nick_the_hammer;the Hammer;le Martel;der Hammer;;El Martillo;;;;;;;;;x
nick_the_victorious;the Victorious;le Victorieux;der Siegreiche;;El Victorioso;;;;;;;;;x
nick_the_holy;the Holy;le Saint;der Heilige;;El Santo;;;;;;;;;x
nick_the_avenger;the Avenger;le Vengeur;der Rächer;;El Vengador;;;;;;;;;x
nick_the_brave;the Brave;le Hardi;der Tapfere;;El Valiente;;;;;;;;;x
nick_the_fearless;the Fearless;le Preux;der Furchtlose;;El Temerario;;;;;;;;;x
nick_the_martyr;the Martyr;le Martyr;der Märtyrer;;El Mártir;;;;;;;;;x
nick_the_effeminate;the Effeminate;l’Efféminé;der Weibische;;El Afeminado;;;;;;;;;x
nick_the_clueless;the Clueless;l’Idiot;der Dusselige;;El Despistado;;;;;;;;;x
nick_the_heathen;the Heathen;le Païen;der Heide;;El Pagano;;;;;;;;;x
nick_the_glorious;the Glorious;le Glorieux;der Glorreiche;;El Glorioso;;;;;;;;;x
nick_the_saint;the Saint;le Saint;der Saint;el Santo;;;;;;;;;x
nick_the_hunchback;the Hunchback;le Bossu;der Bucklige;;El Jorobado;;;;;;;;;x
nick_the_bad;the Bad;le Mauvais;der Miese;;El Malo;;;;;;;;;x
nick_the_peaceable;the Peaceable;le Pacifique;der Friedliebende;;El Pacífico;;;;;;;;;x
nick_the_one_eyed;the One-Eyed;le Borgne;der Einäugige;;el Tuerto;;;;;;;;;x
nick_the_singer;the Troubadour;le Troubadour;der Troubadour;;el Trovador;;;;;;;;;x
nick_with_immortal_soul;of Immortal Soul;de l'Âme Immortelle;der unsterblichen Seele;;del Alma Inmortal;;;;;;;;;x
nick_the_mazdayasnian;the Mazdayasnian;le Mazdayasnian;der Mazdayasnian;;el Mazdayasnian;;;;;;;;;x
nick_the_lewd;the Lewd;l'Obscène;der Unanständige;;el lascivo;;;;;;;;;x
nick_the_dwarf;the Dwarf;le Nain;der Zwerg;;el Enano;;;;;;;;;x
nick_the_fool;the Fool;l'Imbécile;der Einfältige;;el Tonto;;;;;;;;;x
nick_the_poet;the Poet;le Poète;der Dichter;;El Poeta;;;;;;;;;x
nick_the_benign;the Benign;le Bénin;der Gutartige;;El Benigno;;;;;;;;;x
nick_the_eloquent;the Eloquent;l'Éloquent;der Wortgewandte;;El Elocuente;;;;;;;;;x
nick_the_meek;the Meek;le Doux;der Sanftmütige;;El Manso;;;;;;;;;x
nick_the_prudent;the Prudent;le Prudent;der Umsichtige;;El Prudente;;;;;;;;;x
nick_the_learned;the Learned;le Savant;der Gelehrte;;El Aprendido;;;;;;;;;x
nick_the_impaler;the Impaler;l'Empaleur;der Pfähler;;El Empalador;;;;;;;;;x
nick_the_cunning;the Cunning;le Rusé;der Listige;;El Astucia;;;;;;;;;x
nick_the_indolent;the Indolent;l'Indolent;der Träge;;El Indolente;;;;;;;;;x
nick_the_downcast;the Downcast;l'Abattu;der Niedergeschlagene;;El Alicaído;;;;;;;;;x
