#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#PATRICIANS
family_palace_baron_arabic;Rais;Rais;Rais;;Rais;;;;;;;;;x
family_palace_baron_baltic;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_celtic;Clan Chief;Chef de Clan;Clanchef;;Jefe del Clan;;;;;;;;;x
family_palace_baron_central_germanic;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_east_african;Pasha;Pasha;Pasha;;Pasha;;;;;;;;;x
family_palace_baron_east_slavic;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_female_celtic;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_central_germanic;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;
family_palace_baron_female_east_slavic;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_finno_ugric;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_hellenic_pagan;Mater Familias;Mater Familias;Mater Familias;;Mater Familias;;;;;;;;;x
family_palace_baron_female_iberian;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_magyar;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_polish;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_prussian;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;
family_palace_baron_female_roman;Mater Familias;Mater Familias;Mater Familias;;Mater Familias;;;;;;;;;x
family_palace_baron_female_saxon;Lady;Dame;Frau;;Señora;;;;;;;;;x
family_palace_baron_female_west_germanic;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;x
family_palace_baron_female_west_slavic;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;
family_palace_baron_finno_ugric;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_hellenic_pagan;Pater Familias;Pater Familias;Pater Familias;;Pater Familias;;;;;;;;;x;;
family_palace_baron_iberian;Grandee;Grandee;Grandee;;Grandee;;;;;;;;;x
family_palace_baron_iranian;Pasha;Pasha;Pasha;;Pasha;;;;;;;;;x
family_palace_baron_magyar;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_north_germanic;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_pagan_group;Elder;Ainé;Altere;;Saúco;;;;;;;;;x
family_palace_baron_polish;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_prussian;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_roman;Pater Familias;Pater Familias;Pater Familias;;Pater Familias;;;;;;;;;x
family_palace_baron_saxon;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_turkish;Pasha;Pasha;Pasha;;Pasha;;;;;;;;;x
family_palace_baron_west_african;Horon;Horon;Horon;;Horon;;;;;;;;;x
family_palace_baron_west_germanic;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_west_slavic;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
#BARONS
baron_bulgar;Taishi;Taishi;Taishi;;Taishi;;;;;;;;;x;;
baron_central_germanic;Burgrave;Burgrave;Burggraf;;Burgrave;;;;;;;;;x
